bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Proces;Kviz: Proces;Kako počinje roman 'Proces'?;Josefa K. hapse ujutro u njegovoj sobi, bez ikakvog objašnjenja;Josefa K. pozivaju na suđenje pismom;Josef K. čita o svom hapšenju u novinama;Josef K. sam odlazi prijaviti se policiji;a;1
Proces;Kviz: Proces;Kakvo je zanimanje Josefa K.?;Prokurist u banci;Advokat;Učitelj;Liječnik;a;1
Proces;Kviz: Proces;Ko izvodi hapšenje Josefa K.?;Dvojica čuvara, Franz i Willem;Policajci u uniformi;Sudija i zapisničar;Vojnici;a;1
Proces;Kviz: Proces;Da li Josef K. biva zatvoren nakon hapšenja?;Da – odmah biva zatvoren;Da – ali samo nekoliko dana;Ne – ostaje slobodan, ali je pod istragom;Ne – slučaj je odmah odbačen;c;1
Proces;Kviz: Proces;Gdje se nalazi sud koji vodi Josefov slučaj?;U zvaničnoj palači pravde u centru grada;U policijskoj stanici;U potkrovlju jedne obične stambene zgrade;U podzemnim prostorijama;c;1
Proces;Kviz: Proces;Kome se Josef K. obraća za pravnu pomoć?;Advokatu Huldu;Svome šefu u banci;Ujaku iz sela;Prijatelju Blocku;a;1
Proces;Kviz: Proces;Ko je Leni u romanu?;Josefova zaručnica;Sudijina supruga;Stanodavkina kćerka;Advokatova njeguivačica koja je privučena optuženim muškarcima;d;1
Proces;Kviz: Proces;Što Josef K. doznaje od slikara Titorellija o mogućim ishodima procesa?;Da može lako biti oslobođen uz dobar novac;Da je sud zapravo lažna institucija bez prave moći;Da je njegov slučaj već tajno riješen u njegovu korist;Da postoje samo prividna i odgođena oslobađanja, ali nikad prava;d;1
Proces;Kviz: Proces;Gdje se odvija razgovor između Josefa K. i svećenika?;U sudnici;U katedrali;U advokatovoj kancelariji;U zatvoru;b;1
Proces;Kviz: Proces;Koju priču svećenik ispriča Josefu K.?;Priču o sudiji koji je izgubio moć;Priču o zatvoreniku koji je pobjegao;Priču o čovjeku koji cijeli život čeka ispred vrata Zakona;Priču o advokatu koji je prevario klijenta;c;1
Proces;Kviz: Proces;Što se na kraju događa s Josefom K.?;Ubijaju ga dvojica muškaraca – 'kao psa';Oslobođen je svih optužbi;Bježi iz grada;Umire od bolesti;a;1
Proces;Kviz: Proces;Koliko vremena prođe između Josefovog hapšenja i egzekucije?;Jedna godina;Šest mjeseci;Tri godine;Dvadeset dana;a;1
Proces;Kviz: Proces;Koje su posljednje misli Josefa K. pri egzekuciji?;'Nisam kriv!';'Kao pas!' – uz sramotu što umire bez otpora;'Pravda mora pobijediti!';'Ko ste vi?';b;1
Proces;Kviz: Proces;Koji je glavni motiv romana 'Proces'?;Ljubomora i osveta;Politička revolucija;Vjersko licemjerje;Birokratska moć i nespoznatljiv pravni sistem koji guši pojedinca;d;1
Proces;Kviz: Proces;Kako Josef K. reagira na svoje hapšenje?;Poriče krivnju i uporno pokušava saznati optužbu;Odmah se predaje sudu;Bježi u drugu zemlju;Traži da odmah bude zatvoren;a;1
Proces;Kviz: Proces;Ko je Josefov ujak Karl i zašto dolazi?;Dolazi na Josefov rođendan;Dolazi iz sela jer je čuo za Josefov slučaj i želi mu pomoći;Sam je sudija u Josefovom slučaju;Josefov je advokat;b;1
Proces;Kviz: Proces;Što je posebno u fizičkom opisu suda koji Josef K. posjećuje?;Sud je luksuzno i formalno uređen;Sud se u romanu nikad ne vidi iznutra;Sud je zagušljiv, haotičan i smješten na neočekivanom, nezdravom potkrovlju;Sud zasijeda samo noću;c;1
Proces;Kviz: Proces;Kakav je odnos Josefa K. s gospođicom Burstner, susjedicom?;Ona je njegova vjerna zaručnica;Ona mu aktivno pomaže u odbrani;Ona svjedoči na sudu protiv njega;Josef ju nelagodno privuče i bez prave privole je poljubi;d;1
Proces;Kviz: Proces;Ko je Block u romanu?;Josefov kolega u banci;Sudija koji vodi slučaj;Advokativ klijent koji godinama čeka presudu, potpuno podvrgnut advokatu;Advokatov mlađi pomoćnik;c;1
Proces;Kviz: Proces;Koja je ključna tema za razumijevanje 'Procesa'?;Borba za pravdu koja donosi konačnu pobjedu;Osjećaj krivnje bez poznatog razloga i apsurdnost institucija;Romantična ljubav u teškim okolnostima;Klasna borba u kapitalističkom društvu;b;1
Proces;Kviz: Proces;Što simboliziraju 'vrata Zakona' u svećenikovoj priči?;Slobodu i spasenje;Nedostupnost pravde i zakona koji se nikad ne otvaraju za onoga tko čeka;Moć novca;Božansku milost;b;1
Proces;Kviz: Proces;Kakav je ton i atmosfera romana 'Proces'?;Tjeskobna, apsurdna i dezorijentirajuća;Humoristična i satirična;Romantična i nostalgična;Herojska i optimistična;a;1
Proces;Kviz: Proces;Što Josefa K. muči više od same optužbe?;Strah od dugogodišnjeg zatvora;Gubitak posla i ugleda;Javna sramota pred kolegama;Neshvatljiva neizvjesnost – ne zna čime je optužen ni zašto;d;1
Proces;Kviz: Proces;Što Titorelli slika za prehranu?;Pejzaže prirode;Portrete sudija;Apstraktne slike;Vjerske motive;b;1
Proces;Kviz: Proces;Zašto Josef K. na kraju otpušta advokata Hulda?;Jer nema novca za honorare;Jer smatra da mu advokat ne pomaže i da mora sam pokušati;Jer ga advokat izda sudu;Jer mu je nađen bolji advokat;b;1
Proces;Kviz: Proces;Što je 'kafkijanski' kao književni pojam nastao iz ovog romana?;Romantična ljubavna priča bez sretnog kraja;Apsurdna, dehumanizujuća birokratska situacija bez logičnog izlaza;Herojski otpor naspram tiranije;Egzotična pustolovina u stranim krajevima;b;1
Proces;Kviz: Proces;Koja je poruka parabole 'Pred zakonom' unutar 'Procesa'?;Zakon štiti slabe od jakih;Strpljivi uvijek dobivaju pravdu;Vrata zakona su otvorena za sve jednako;Zakon je nedostupan – čovjek uzaludno čeka pristup cijeli život;d;1
Proces;Kviz: Proces;Kako roman prikazuje birokratski sistem?;Kao efikasan i pravedan sistem;Kao sistem koji može ispraviti greške;Kao labirinting, besmislen sistem kojeg ni sami službenici ne razumiju u cijelosti;Kao transparentan sistem koji štiti građane;c;1
Proces;Kviz: Proces;Koliko puta Josef K. faktički vidi ili razgovara sa sudijom koji mu sudi?;Jednom, u katedrali;Dva puta, u sudnici;Nekoliko puta kod advokata;Nikad – sudija mu ostaje trajno nedostupan;d;1
Proces;Kviz: Proces;Što roman sugerira o krivnji Josefa K.?;On je nedvojbeno nevin;On je nedvojbeno kriv za konkretan zločin;Ostaje namjerno nejasno – možda je kriv za nešto egzistencijalno, a možda ne;Krivnja nije tema romana;c;1
