bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Zeleno busenje;Kviz: Zeleno busenje;Gdje se odvija radnja romana 'Zeleno busenje'?;U Mostaru;U Travniku;U Bihaću;U Sarajevu;d;1
Zeleno busenje;Kviz: Zeleno busenje;Koji historijski period opisuje roman 'Zeleno busenje'?;Period između dva svjetska rata;Osmanska osvajanja Bosne u 15. vijeku;Prijelaz iz osmanske na austrougarsku upravu u Bosni;Drugi balkanski rat;c;1
Zeleno busenje;Kviz: Zeleno busenje;Kako se zove glavni junak romana?;Alija;Mehmed;Mustafa;Hamid;d;1
Zeleno busenje;Kviz: Zeleno busenje;U koga je Hamid zaljubljen?;U Fatimu;U Eminu;U Zlatu;U Hajriju;c;1
Zeleno busenje;Kviz: Zeleno busenje;Zašto Hamidova ljubav prema Zlati ostaje neispunjena?;Zbog tradicionalnih normi i društvenih konvencija;Zbog Zlatine bolesti;Zbog rata koji ih razdvaja;Zbog siromaštva;a;1
Zeleno busenje;Kviz: Zeleno busenje;Za koga se Zlata udaje?;Za Hamida;Za Austrijanca;Ostaje neudata;Za bogatog bega kojeg nije voljela;d;1
Zeleno busenje;Kviz: Zeleno busenje;Što simbolizira 'zeleno busenje' u naslovu romana?;Islamsku vjeru i tradiciju;Bogatstvo i ugled;Austrougarsku vlast;Bosansku domovinu, mladost i prolaznost;d;1
Zeleno busenje;Kviz: Zeleno busenje;Kakav je Hamidov karakter?;Ratoboran i ambiciozan;Veseo i bezbrižan;Sanjarski, osjetljiv i romantičan;Pohlepan i proračunat;c;1
Zeleno busenje;Kviz: Zeleno busenje;Kojim temama se bavi roman 'Zeleno busenje'?;Ratna zbivanja i heroizam;Ljubav, tradicija i nacionalni identitet Bošnjaka;Vjerski fanatizam i dogmatizam;Industrijska i ekonomska revolucija;b;1
Zeleno busenje;Kviz: Zeleno busenje;Kakav je završetak ljubavne priče u romanu?;Sretan – Hamid i Zlata se vjenčaju;Hamid odlazi u inozemstvo i zaboravlja Zlatu;Tragičan – ljubav ostaje neispunjena;Zlata napušta muža i vraća se Hamidu;c;1
Zeleno busenje;Kviz: Zeleno busenje;Što roman prikazuje u pogledu položaja žene u bosanskom društvu tog vremena?;Žena slobodno bira supruga;Žena je ravnopravna s muškarcem;Žena nema pravo glasa u odluci o vlastitom braku;Žena dominira u porodičnim odlukama;c;1
Zeleno busenje;Kviz: Zeleno busenje;Koji književni pravac obilježava roman 'Zeleno busenje'?;Naturalizam;Romantizam s elementima realizma;Modernizam;Ekspresionizam;b;1
Zeleno busenje;Kviz: Zeleno busenje;Kako promjena vlasti (dolazak Austrije) utječe na likove romana?;Donosi neizvjesnost i prijetnju starom načinu života;Donosi radost i napredak svima;Likovi je jedva primjećuju;Pokreće otvorenu pobunu svih likova;a;1
Zeleno busenje;Kviz: Zeleno busenje;Što Hamid osjeća kada Zlata bude udana za drugoga?;Duboku tugu, bespomoćnost i čežnju;Olakšanje i prihvaćanje;Bijes i želju za osvetom;Ravnodušnost;a;1
Zeleno busenje;Kviz: Zeleno busenje;Kako Mulabdić opisuje Sarajevo u romanu?;Kao mračan i surov grad;Kao živ, šaren grad pun kontrasta starog i novog;Kao moderan i europski grad;Kao dosadan i monoton grad;b;1
Zeleno busenje;Kviz: Zeleno busenje;Koja je uloga porodice u sudbini likova?;Porodica podržava slobodan izbor;Porodica nameće odluke i vrši pritisak koji nadilazi osobne želje;Porodica je nebitna za razvoj priče;Porodica štiti likove od društvenog pritiska;b;1
Zeleno busenje;Kviz: Zeleno busenje;Što roman govori o identitetu Bošnjaka u novim historijskim okolnostima?;O radosnom prihvaćanju novih europskih vrijednosti;O strahu od gubitka vlastitog identiteta i tradicije;O potpunoj ravnodušnosti prema historijskim promjenama;O otvorenoj oružanoj borbi za identitet;b;1
Zeleno busenje;Kviz: Zeleno busenje;Kakav je odnos između likova i bosanske prirode u romanu?;Priroda je simbol domovine i emotivna pozadina zbivanja;Priroda se jedva spominje;Priroda je prijetnja i izvor straha;Priroda je samo dekorativni element bez simbolike;a;1
Zeleno busenje;Kviz: Zeleno busenje;Što Zlatina porodica prioritizira pri izboru njenog supruga?;Zlatinu sreću i osjećaje;Materijalni status i ugled kandidata;Vjersku pobožnost supruga;Hamidovu ljubav prema Zlati;b;1
Zeleno busenje;Kviz: Zeleno busenje;Koja emocija dominira Hamidovim likom kroz cijeli roman?;Ljutnja i bunt;Čežnja za nedostižnom ljubavlju i domovinom;Strah od budućnosti;Radost i optimizam;b;1
Zeleno busenje;Kviz: Zeleno busenje;Kako se Hamid nosi s ljubavnim razočaranjem?;Odmah traži novu ljubav;Povlači se u sebe i nostalgično čezne;Odlazi iz Sarajeva;Upušta se u politički aktivizam;b;1
Zeleno busenje;Kviz: Zeleno busenje;Što dolazak austrougarske vlasti mijenja u svakodnevnom životu likova?;Ništa se suštinski ne mijenja;Donosi samo ekonomski napredak;Uzrokuje masovne deportacije;Donosi nove zakone, institucije i kulturne utjecaje koji ugrožavaju tradiciju;d;1
Zeleno busenje;Kviz: Zeleno busenje;Na koji način Mulabdić prikazuje ljubav u romanu?;Kao nešto plemenito ali neostvarivo u okvirima tadašnjeg društva;Kao snažnu silu koja uvijek pobjeđuje prepreke;Kao slabost koju treba prevladati;Kao grešan i zabranjeni osjećaj;a;1
Zeleno busenje;Kviz: Zeleno busenje;Što je posebnost Mulabdićevog stila pisanja u ovom romanu?;Hladan i dokumentaristički pristup;Satiričan i ironičan ton;Znanstveni i analitički stil;Lirski i emotivan jezik koji spaja romantiku s realnom slikom društva;d;1
Zeleno busenje;Kviz: Zeleno busenje;Kakvu ulogu igra sjećanje i nostalgija u romanu?;Centralnu – likovi žive između sadašnjosti i idealnog prošlog;Sporednu – likovi su okrenuti budućnosti;Nikakvu – roman je fokusiran na sadašnjost;Negativnu – nostalgija se prikazuje kao slabost;a;1
