bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Ana Karenjina;Kviz: Ana Karenjina;Za koga je Ana Karenjina udata na početku romana?;Za Vronskog;Za Stivao Oblonskog;Za Levina;Za Alekseja Aleksandroviča Karenjin;d;1.0
Ana Karenjina;Kviz: Ana Karenjina;Gdje Ana i Vronski prvi put pravi susret?;Na balu;Na željezničkim stanicama – pri povratku iz Petrograda u Moskvu;U pozorištu;Na vjenčanju;b;1.0
Ana Karenjina;Kviz: Ana Karenjina;Ko je Vronskin?;Mlad, bogat vojni oficir koji se zaljubi u Anu;Anin brat;Stari general;Anin sin;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Kako se zove Anin sin?;Nikolaj;Aleksej;Serjoža;Mitja;c;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta Karenjin učini kad sazna za Aninu vezu s Vronskim?;Izbjegava skandal ali zahtijeva diskreciju i odbija razvod;Odmah tuži Anu;Ubije Vronskog na dvoboju;Oprašta Ani odmah;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Ko je Kitty Ščerbacka?;Anina sestra;Stivina supruga;Mlada djevojka zaljubljena u Vronskog koji je odbaci;Levelova sestra;c;1.0
Ana Karenjina;Kviz: Ana Karenjina;Ko je Levin i šta traži?;Bogati aristokrat;Vojnik;Plemić-zemljoposjednik koji traži smisao u radu i ljubavi prema Kitty;Gradski biznismen;c;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta se dogodi s Aninom bebe iz veze s Vronskim?;Rodi se živa kći;Umre;Nikad nije рођena;Karenjin je usvoji;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Zašto Ana ne može dobiti razvod?;Jer zakon i Karenjin to onemogućuju, te bi izgubila sina;Jer Karenjin to želi;Jer ne želi razvod;Jer crkva to brani;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta se dogodi s Aninom vezom s Vronskim tokom vremena?;Postaje sve ljepša i sretnija;Vronskin je napusti odmah;Počinje se trviti od Anine ljubomore i nesigurnosti;Postaje brak;c;1.0
Ana Karenjina;Kviz: Ana Karenjina;Kako Ana umire?;Ubije je Vronskin;Baci se pod vlak;Otrovanjem;Umire od bolesti;b;1.0
Ana Karenjina;Kviz: Ana Karenjina;Koji simbol koji se pojavljuje u Aninom snu i opsesiji?;Bijeli konj;Crna mačka;More i brodovi;Mali strašni čovjek i željeznice;d;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta Levin doživijava pred kraj romana?;Duhovno otkrovenje i smirenost kroz radost u radu i porodici;Razočaranje u ljubav;Bankrot;Bolest;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta se dogodi s Vronskim nakon Anine smrti?;Postaje sreetan;Napusti Rusiju;Ženi Kitty;Odlazi u rat i želi umrijeti;d;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta Tolstoj stavlja paralelno uz Aninu priču?;Priča o carskoj porodici;Levinova priča o smislu i sretnom porodičnom životu;Priča o seljačkim bunama;Priča o vojnom pohodu;b;1.0
Ana Karenjina;Kviz: Ana Karenjina;Ko je Stiva Oblonski i šta je njegovo stanje na početku romana?;Anin brat koji je uhvaćen u preljubu s guvernantom;Anin muž;Vronskog prijatelj;Levins brat;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta Ana osjeća kad vidii Serjožu prije nego što pobjegne s Vronskim?;Radost i spokojnost;Ravnodušnost;Bol zbog rastanka – zna da ga gubi;Ljutnju na Karenjina;c;1.0
Ana Karenjina;Kviz: Ana Karenjina;Ko je Dolly Oblonskaja?;Stivina supruga koja mu oprašta preljub;Anina prijatelica;Vronskog majka;Kittyna majka;a;1.0
Ana Karenjina;Kviz: Ana Karenjina;Šta je Karenjinov karakter u romanu?;Zli antagonist;Dobri suprug;Slabi čovjek;Hladan, formalan birokrat koji ne razumije emocije;d;1.0
