bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Nečista krv;Kviz: Nečista krv;Ko je glavna junakinja romana 'Nečista krv'?;Mara;Zorka;Milena;Sofka;d;1
Nečista krv;Kviz: Nečista krv;U kom gradu se odvija radnja romana?;U Beogradu;U Vranju, u južnoj Srbiji;U Sarajevu;U Nišu;b;1
Nečista krv;Kviz: Nečista krv;Kako se zove Sofkin otac?;Hadži Ristić;Efendi Hasan;Efendi Mita;Simo;c;1
Nečista krv;Kviz: Nečista krv;Zašto Efendi Mita pristaje da Sofka bude udata za malog Tomču?;Da bi spasio porodicu od dugova i materijalne propasti;Jer je Tomčina porodica bila uglednija po porijeklu;Jer je Sofka sama izabira Tomču;Zbog pritiska lokalne zajednice;a;1
Nečista krv;Kviz: Nečista krv;Koliko je Tomča star u odnosu na Sofku u trenutku braka?;Iste je dobi kao Sofka;Stariji je od Sofke za desetak godina;On je znatno mlađi – još gotovo dječak;Punoljetan je mladić;c;1
Nečista krv;Kviz: Nečista krv;Kakav je Sofkin karakter?;Pokorна, tiha i ponizna;Hladna, ambiciozna i proračunata;Naivna i bezbrižna;Ponosna, strasna i duboko svjesna vlastite vrijednosti i ljepote;d;1
Nečista krv;Kviz: Nečista krv;Što naslov 'Nečista krv' simbolizira u romanu?;Naslijeđenu strast i neobuzdane osjećaje koji porodicu vode u propast;Bolest koja fizički razara porodicu;Pomiješano etničko porijeklo;Krivnju za počinjeni zločin;a;1
Nečista krv;Kviz: Nečista krv;Kako Sofka prima vijest da mora biti udata za Tomču?;S radošću jer time spašava porodicu;S otvorenom pobunomm i odbijanjem;S potpunom ravnodušnošću;S gorčinom i osjećajem nemoći, ali se na kraju pokori;d;1
Nečista krv;Kviz: Nečista krv;Koji je centralni sukob romana 'Nečista krv'?;Između bogatih i siromašnih;Između Srba i Turaka;Između vjere i razuma;Između pojedinačne slobode i porodičnih i društvenih obaveza;d;1
Nečista krv;Kviz: Nečista krv;Kako je opisana Sofkina ljepota?;Kao moćna i magnetična sila koja privlači opće divljenje;Kao obična i pristojna ženstvenost;Kao nešto što Sofka vješto skriva iz skromnosti;Kao hladna i nedostupna ljepota;a;1
Nečista krv;Kviz: Nečista krv;Što se događa s Efendi Mitinom porodicom tokom radnje romana?;Porodica propada financijski i gubi ugled koji je nekada imala;Porodica doživljava puni ekonomski procvat;Porodica se seli u veći grad;Porodica stradava u ratu;a;1
Nečista krv;Kviz: Nečista krv;Kakav je odnos između Sofke i Tomče dok Tomča odrasta?;Odnos iskrene ljubavi od samog početka;Potpuno hladna ravnodušnost;Složen – Sofka mu postaje i supruga i majčinska figura;Otvoreno neprijateljstvo koje traje do kraja;c;1
Nečista krv;Kviz: Nečista krv;Koji književni pravac obilježava roman 'Nečista krv'?;Romantizam;Modernizam;Realizam s elementima naturalizma;Ekspresionizam;c;1
Nečista krv;Kviz: Nečista krv;Što Sofkin lik simbolizira u romanu?;Sudbinu žene u patrijarhalnom društvu i zalazak jedne epohe;Pobunu žene protiv tradicije;Savremenu emancipiranu ženu;Nacionalni ponos i otpor;a;1
Nečista krv;Kviz: Nečista krv;Kako se završava roman 'Nečista krv'?;Sofka ostaje u braku, pomirena s vlastitom sudbinom;Sofka bježi s ljubavnikom;Sofka umire;Tomča napušta Sofku;a;1
Nečista krv;Kviz: Nečista krv;Koji vremenski period i kulturni kontekst opisuje roman?;Period između dva svjetska rata;Drugi balkanski rat;Savremeno doba;Kraj osmanskog i početak srpskog perioda u Vranju – prelomni historijski trenutak;d;1
Nečista krv;Kviz: Nečista krv;Što Efendi Mita stavlja ispred Sofkine osobne sreće?;Sofkin emocionalni život;Financijsko preživljavanje i očuvanje porodičnog ugleda;Moralne i vjerske principe;Društvene konvencije bez ličnog interesa;b;1
Nečista krv;Kviz: Nečista krv;Što Tomčin otac želi postići brakom svog sina za Sofku?;Financijsku dobit;Poslovni savez s Efendi Mitom;Ugled koji mu donosi veza s Sofkinom uglednom porodicom;Zadovoljiti sin ovu romantičnu čežnju;c;1
Nečista krv;Kviz: Nečista krv;Kako roman prikazuje položaj žene u patrijarhalnom društvu?;Kao objekt kojim se raspolaže i čijoj se sudbini odlučuje bez njenog pristanka;Kao slobodne i ravnopravne partnera;Kao zaštićene i poštovane osobe;Kao superiorne u privatnoj sferi doma;a;1
Nečista krv;Kviz: Nečista krv;Koji se motiv stalno ponavlja kroz roman?;Sloboda i pustolovine;Vjernost i odanost;Mudrost starijih naraštaja;Ljepota i strast kao prokletstvo koje razara;d;1
Nečista krv;Kviz: Nečista krv;Kako Stanković opisuje atmosferu Vranja?;Kao modernog i naprednog grada;Kao orijentalnog i sporog grada punog strasti skrivenih pod površinom;Kao hladnog i surovog prostora;Kao idiličnog i mirnog mjesta;b;1
Nečista krv;Kviz: Nečista krv;Što se dešava s Sofkinom ponosom u toku romana?;Ostaje netaknut do posljednje stranice;Nestaje odmah po sklapanju braka;Postepeno ga okolnosti slome ali nikad u potpunosti – ostaje tinja;Preraste u otvorenu aroganciju;c;1
Nečista krv;Kviz: Nečista krv;Koji je Stankovićev književni postupak u prikazu Sofke?;Isključivo vanjski opis akcija i događaja;Psihološka analiza i retrospekcija unutarnjih stanja;Ironija i satirična distanca;Dokumentarna objektivnost bez emotivne nijanse;b;1
Nečista krv;Kviz: Nečista krv;Što Sofka čini s Tomčom dok on sazrijeva?;Ga potpuno ignorira;S njim gradi ravnopravno partnerstvo od početka;Odgaja ga i oblikuje prema vlastitim zamislima;Ga otvoreno prezire;c;1
Nečista krv;Kviz: Nečista krv;Kakav je odnos zajednice prema Sofki?;S isključivim poštovanjem;S mješavinom poštovanja, zavisti i osuđivanja;S potpunim prezirom;S ravnodušnošću;b;1
Nečista krv;Kviz: Nečista krv;Što 'nečista krv' znači u poimanju likova unutar romana?;Zarazna fizička bolest;Naslijeđena sklonost ka strasti i uživanju koja razara porodice;Pomiješana vjera;Kriminalna prošlost predaka;b;1
Nečista krv;Kviz: Nečista krv;Kako Efendi Mita doživljava vlastitu odluku da uda Sofku za Tomču?;S potpunim mirom jer smatra da čini pravo;S grižnjom savjesti i tugom, ali bez alternative;Bez ikakve emocionalne reakcije;S otvorenom radošću;b;1
Nečista krv;Kviz: Nečista krv;Što roman govori o padu patrijarhalnog poretka?;Da je pad patrijarhalnog poretka povoljna stvar;Da je taj pad neminovan i bolan, a porodice mu plaćaju visoku cijenu;Da patrijarhalni poredak opstaje netaknut;Da je pad posljedica rata, ne unutarnjih uzroka;b;1
Nečista krv;Kviz: Nečista krv;Kako je prikazan Tomčin otac – bogati trgovac?;Kao pragmatičan čovjek koji kupuje ugled novcem;Kao plemenita i nesebična osoba;Kao negativac koji svjesno uništava Sofku;Kao slabić bez vlasti u vlastitoj kući;a;1
Nečista krv;Kviz: Nečista krv;Zašto je 'Nečista krv' i danas relevantan roman?;Jer opisuje aktualne historijske događaje;Jer promoviše određenu ideologiju;Jer je pisano savremenim jezikom;Jer propituje vječne teme ženskog položaja, porodičnog pritiska i sukoba osobnih i društvenih normi;d;1
