bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Tvrdica;Kviz: Tvrdica;Kako se zove Molièrov tvrdica?;Žorž Danden;Valjer;Harpagon;Kleant;c;1.0
Tvrdica;Kviz: Tvrdica;Koliko novca Harpagon drži zakopano u vrtu?;Deset tisuća zlatnika;Pedeset tisuća libri;Pet tisuća franaka;Dvanaest tisuća zlatnih ekija;d;1.0
Tvrdica;Kviz: Tvrdica;Kako se zove Harpagoova kćerka?;Mariana;Klara;Frosina;Elianta;d;1.0
Tvrdica;Kviz: Tvrdica;Ko je Kleant?;Harpagoov brat;Elizanin suprug;Harpagoov sluga;Harpagoov sin;d;1.0
Tvrdica;Kviz: Tvrdica;Za koga Harpagon želi oženiti svoju kćerku Elijantu?;Za Valjera;Za siromašnog mladića;Za bogatog starca Anselmea;Za Kleanta;c;1.0
Tvrdica;Kviz: Tvrdica;U koga je Kleant zaljubljen?;U Elijantu;U Marianu;U Frosinu;U susjedovu kćer;b;1.0
Tvrdica;Kviz: Tvrdica;Ko ukrade Harpagoov novac?;Kleant;Valjer;Sluga La Flet;Mariana;c;1.0
Tvrdica;Kviz: Tvradica;Kako Harpagon reagira kad otkrije da mu je ukraden novac?;Mirno zove policiju;Pada u histeriju i optužuje sve oko sebe;Odmah zna ko je kradljivac;Smije se;b;1.0
Tvrdica;Kviz: Tvrdica;Ko je zapravo Valjer u tajnosti?;Harpagoov nezakoniti sin;Sin bogatog plemića Anselmea;Talijanski trgovac;Kleantov brat;b;1.0
Tvrdica;Kviz: Tvrdica;Ko je zapravo Mariana u tajnosti?;Harpagoova nećakinja;Kćerka Anselmea kojeg se Harpagon boji;Udovica bogatog vojnika;Sestra Valjera i kćerka Anselmea;d;1.0
Tvrdica;Kviz: Tvrdica;Koja je Frosinina uloga u komediji?;Harpagoova sluškinja;Kleantov majka;Posrednica koja pokušava organizirati brak za novac;Susjeda;c;1.0
Tvrdica;Kviz: Tvrdica;Šta Harpagon nudi kao miraz za Elijantu?;Dio svog novca;Ništa – traži da mladoženja pristane bez miraza;Svoju kuću;Nakit;b;1.0
Tvrdica;Kviz: Tvrdica;Kako se komedija završava?;Harpagon ostaje sam i siromašan;Kleant uzima Marianu, Valjer uzima Elijantu, a Harpagon dobiva natrag novac;Harpagon ubija Kleanta;Mariana se uda za Anselmea;b;1.0
Tvrdica;Kviz: Tvrdica;Šta Kleant krišom uzima od Harpagovog novca da bi oduševio Marianu?;Ogrlicu;Tisuću ekija;Dijamantni prsten;Ništa – krade novac od Marsela;c;1.0
Tvrdica;Kviz: Tvrdica;Šta Harpagon misli o jedenju i piću?;Voli luksuzne gozbe;Voli priređivati gozbe za goste;Hrana nije važna;Što manje jesti i piti, to bolje – treba štediti;d;1.0
Tvrdica;Kviz: Tvrdica;Koji je Harpagoov stav prema pozajmljivanju novca?;Voli posuđivati drugima;Uzima visoke kamate kad posuđuje i nikad ništa ne pozajmljuje bez koristi;Slobodno posuđuje prijateljima;Ne razumije pojam pozajmice;b;1.0
Tvrdica;Kviz: Tvrdica;Zašto Harpagon želi oženiti Marianu?;Jer mu se dopada njena ljepota, a ona ne traži miraz;Zbog ljubavi;Jer joj je otac bogat;Jer mu Frosina to nalaže;a;1.0
Tvrdica;Kviz: Tvrdica;Šta Harpagon kaže kad otkrije da mu sin voli istu ženu?;Blagoslovi njihovu ljubav;Povuče se i prepusti Marianu Kleantu;Bjesni i prijeti sinom;Smije se apsurdnosti situacije;c;1.0
Tvrdica;Kviz: Tvrdica;Koga Harpagon optužuje za kađu čak i pred sudom?;Sebe, sina, kćer i sve prisutne;Samo slugue;Samu Marianu;Komšije;a;1.0
