bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Hadži Lojo;Kviz: Hadži Lojo;Koji historijski događaj je u središtu romana 'Hadži Lojo'?;Osmanska osvajanja Bosne u 15. vijeku;Otpor Sarajlija austrougarskoj okupaciji Bosne 1878.;Balkanski ratovi 1912–1913.;Ustanak u Hercegovini 1875.;b;1
Hadži Lojo;Kviz: Hadži Lojo;Ko je Hadži Lojo u romanu?;Sarajevski trgovac i narodni prvak koji organizira otpor Austrijancima;Osmanski vojskovođa koji brani Bosnu;Vjerski poglavar iz Mostara;Austrijski oficir koji prelazi na stranu Bošnjaka;a;1
Hadži Lojo;Kviz: Hadži Lojo;Kakav je ishod ustanka koji Hadži Lojo predvodi?;Ustanak uspijeva i Bosna ostaje slobodna;Potpisuje se kompromisni mir;Ustanak propada i austrijska vojska zauzima Sarajevo;Hadži Lojo pobjeđuje u odlučujućoj bici;c;1
Hadži Lojo;Kviz: Hadži Lojo;U kom gradu se odvija radnja romana?;U Mostaru;U Travniku;U Banjoj Luci;U Sarajevu;d;1
Hadži Lojo;Kviz: Hadži Lojo;Što Hadži Lojo simbolizira u romanu?;Kolaboraciju s Austrijancima;Otpor i ponos naroda suočenog s kolonijalnom silom;Vjerski fanatizam bez taktičkog razmišljanja;Slabost i kukavičluk pred stranom silom;b;1
Hadži Lojo;Kviz: Hadži Lojo;Zašto dio Bošnjaka pruža oružani otpor ulasku austrougarske vojske?;Jer ih osmanska vlada naredila to učiniti;Jer ne žele promijeniti svoju vjeru, tradiciju i način života;Jer su Austrijanci napali civile bez povoda;Iz čiste avanturističke žudnje za borbom;b;1
Hadži Lojo;Kviz: Hadži Lojo;Kakva je atmosfera u Sarajevu na početku romana?;Mirna i slavodobitnička;Ratna i potpuno haotična;Napeta i iščekujuća pred dolaskom nove vlasti;Vesela i bezbrižna;c;1
Hadži Lojo;Kviz: Hadži Lojo;Kako je Hadži Lojo prikazan kao lik u romanu?;Kao besprijekorni idealizirani heroj;Kao negativan lik koji obmanjuje narod;Kao složen narodni junak s manama i vrlinama;Kao komičan i naivan lik;c;1
Hadži Lojo;Kviz: Hadži Lojo;Koje su glavne teme romana 'Hadži Lojo'?;Ljubav i romantika na pozadini rata;Patriotizam, otpor, gubitak slobode i kraj jedne epohe;Vjerske rasprave i teološke dileme;Ekonomska klasna borba;b;1
Hadži Lojo;Kviz: Hadži Lojo;Što okončanje ustanka znači za Sarajevo i Bosnu u romanu?;Početak nove epohe pod tuđom vlašću i gubitak dotadašnjeg poretka;Povratak osmanske vlasti;Uspostavu bosanske autonomije;Mir i prosperitet za sve slojeve;a;1
Hadži Lojo;Kviz: Hadži Lojo;Kakvu ulogu ima obični sarajevski narod u romanu?;Pasivnu – samo promatraju događaje;Negativnu – građani sprečavaju ustanak;Aktivnu – građani učestvuju u otporu i nose teret zbivanja;Nebitnu – roman se fokusira samo na vođe;c;1
