bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Don Kihot;Kviz: Don Kihot;Kako se zove Don Kihotov vjerni sluga i pratilac?;Dulsineja;Kardenio;Rodrigo;Sanče Pansa;d;1.0
Don Kihot;Kviz: Don Kihot;Čime se Don Kihot bavio prije nego što je poludio od čitanja vitežkih romana?;Bio je seljak;Bio je svećenik;Bio je sitni plemić koji je živio od prihoda imanja;Bio je vojnik;c;1.0
Don Kihot;Kviz: Don Kihot;Kako Don Kihot naziva obično seosku djevojku Aldonzu Lorenzo?;Dulsineja od Tobosa;Beltenebros;Infanta Micomicona;Altisidora;a;1.0
Don Kihot;Kviz: Don Kihot;Protiv čega se Don Kihot bori misleći da su to divovi?;Vukovi;Brodovi;Utvrde;Vjetrenjače;d;1.0
Don Kihot;Kviz: Don Kihot;Kako se zove Don Kihotov konj?;Bucefal;Ronsinant;Babieca;Pegaz;b;1.0
Don Kihot;Kviz: Don Kihot;Šta Sanče Pansa dobiva kao nagradu što prati Don Kihota?;Obećanje da će biti guverner otoka;Zlatni mač;Ruku plemićeve kćerke;Blago zakopano u šumi;a;1.0
Don Kihot;Kviz: Don Kihot;Kako stanovnici okoline doživljavaju Don Kihota?;Kao opasnog zločinca;Kao luđaka koji se igra viteza;Kao svetog čovjeka;Kao cara u maski;b;1.0
Don Kihot;Kviz: Don Kihot;Što Don Kihot smatra za začarani dvorac?;Crkvu;Mlini za žito;Krčmu;Zamak na brdu;c;1.0
Don Kihot;Kviz: Don Kihot;Ko je Don Kihotov dobar prijatelj koji se prerušava da bi ga vratio kući?;Sansón Karrask;Nikolas berberin;Svećenik;I b i c su tačno;d;1.0
Don Kihot;Kviz: Don Kihot;Kakav je Sančov govor u usporedbi s Don Kihotovim?;Pun izreka i narodne mudrosti;Uzvišen i poetičan;Šutljiv i ozbiljan;Pun latinskih citata;a;1.0
Don Kihot;Kviz: Don Kihot;Šta se dogodi s Don Kihotom na kraju romana?;Postaje pravi vitez;Osvaja Dulsinejo;Pobjegne u drugu zemlju;Vraća se kući i ozdravi od ludila prije smrti;d;1.0
Don Kihot;Kviz: Don Kihot;Kako se zove Don Kihot prije nego što uzme vitežko ime?;Fernando de Avellaneda;Pedro Alonso;Alonzo Kihano;Rui Diaz;c;1.0
Don Kihot;Kviz: Don Kihot;Šta Don Kihot misli o knjigama vitežke romanse?;Da su istinite i da treba živjeti po njima;Da su lažne i štetne;Da su zabavne ali nevažne;Da ih treba zabraniti;a;1.0
Don Kihot;Kviz: Don Kihot;Koja životinja Don Kihotu izgleda kao čudovišni lav kojeg mora ubiti?;Lav u kavezu kojeg prevoze;Medvjed;Bik na polju;Divlji vepar;a;1.0
Don Kihot;Kviz: Don Kihot;Šta Sanče Pansa dobiva na upravljanje i kako vlada?;Tvrđavu – loše;Otok Baratarija – mudro i pravedno;Grad Toledo – sebično;Selo – haotično;b;1.0
Don Kihot;Kviz: Don Kihot;Ko je Vitez Bijelog Mjeseca koji pobijedi Don Kihota u dvoboju?;Kardenio;Vojvoda;Sanče Pansa;Sansón Karrask prerušen;d;1.0
Don Kihot;Kviz: Don Kihot;Što Don Kihot mora učiniti nakon poraza od Viteza Bijelog Mjeseca?;Otkriti svoje pravo ime;Godinu dana se odreći viteškog poziva i vratiti kući;Oženiti Dulsinejo;Ubiti zmaja;b;1.0
Don Kihot;Kviz: Don Kihot;Koji je temeljni sukob u romanu između Don Kihota i stvarnosti?;Sukob između ideala i stvarnog života;Sukob između bogatih i siromašnih;Sukob između Crkve i države;Sukob između Španjolaca i Maura;a;1.0
Don Kihot;Kviz: Don Kihot;Šta Don Kihot čini s grupom galijotskih robova koje sretne?;Pridruži se čuvarima;Oslobodi ih iz okova;Napadne ih;Prode pored njih ne obraćajući pažnju;b;1.0
Don Kihot;Kviz: Don Kihot;Gdje Don Kihot provodi određeno vrijeme u pokori inspiriran vitežkim romanima?;U planini Sierra Morena;U pustinji;U tamnici;U samostanu;a;1.0
Don Kihot;Kviz: Don Kihot;Šta simbolizira Rosinant u romanu?;Bogatstvo i moć;Ratnu slavu;Plemenitost bez snage – ideal koji ne može izdržati stvarnost;Božansku zaštitu;c;1.0
Don Kihot;Kviz: Don Kihot;Kako vojvoda i vojvotkinja iskoriste Don Kihota i Sanča?;Zaposle ih kao vojnike;Ismijavaju ih priređujući im šale i lažne pustolovine;Uhapse ih;Ožene ih s plemkinjama;b;1.0
Don Kihot;Kviz: Don Kihot;Šta Sanče kaže Don Kihotu o Dulisineji kad se vrati s navodne misije?;Da je umrla;Da je začarana u seljačku djevojku;Da ga čeka u dvorcu;Da ga ne želi vidjeti;b;1.0
Don Kihot;Kviz: Don Kihot;Koji je Sančov stav prema Don Kihotovim ludostima tokom cijelog romana?;Potpuno mu vjeruje;Ismijavaju ga od početka;Oscilira između nevjerovanja i odanosti;Pokušava ga prijaviti vlastima;c;1.0
Don Kihot;Kviz: Don Kihot;Šta se dogodi kada Don Kihot napadne grupu marionetara?;Spasi marionetske junake misleći da su stvarni;Pobjegne prestrašen;Napravi marionetsku predstavu sam;Razgovara s marionetarima o viteškim romanima;a;1.0
Don Kihot;Kviz: Don Kihot;Kako roman komentira vlastitu prirodu kao fikciju?;Ne komentira;Kroz Sančovih izreka;Kroz svećenikove propovijedi;Kroz lika koji tvrdi da je pročitao prvu knjigu o Don Kihotu;d;1.0
Don Kihot;Kviz: Don Kihot;Šta Don Kihot vidi u pećini Montesinos?;Anđele;Viziju začaranih vitezova i Dulisineju;Blago;Sotonine sluge;b;1.0
Don Kihot;Kviz: Don Kihot;Koga Don Kihot smatra najboljim vitezom ikad?;Kralja Artura;Karla Velikog;Cida Boraca;Amadisa Galskog;d;1.0
