bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Hasanaginica;Kviz: Hasanaginica;Šta je Hasanaginica po književnoj vrsti?;Roman;Usmena lirsko-epska pjesma u desetercu;Kasida;Drama;b;1.0
Hasanaginica;Kviz: Hasanaginica;Ko je Hasanaginica u pjesmi?;Hasan-agina sestra;Djevojka koja ne želi se udati;Majka Hasan-agina;Hasan-agina žena koja biva razvedena;d;1.0
Hasanaginica;Kviz: Hasanaginica;Zašto Hasan-aga razvodi ženu?;Jer ga nije posjetila dok je ležao ranjen – iz stida pred braćom;Jer ga je prevarila;Jer ne želi više djece;Jer se zaljubio u drugu;a;1.0
Hasanaginica;Kviz: Hasanaginica;Ko je brat Hasanaginice?;Pintorović;Hasan-aga;Imotski kadija;Njeni sinovi;a;1.0
Hasanaginica;Kviz: Hasanaginica;Za koga se Hasanaginica uda drugi put?;Za imotskog bega;Za svoga prvog supruga ponovo;Za Pintorović-bega;Za imotskog kadiju;d;1.0
Hasanaginica;Kviz: Hasanaginica;Šta Hasanaginica moli brata da joj ne čini?;Da je razvede;Da je odseli daleko;Da proda njenu imovinu;Da je uda za drugog dok su djeca mala;d;1.0
Hasanaginica;Kviz: Hasanaginica;Šta se dogodi s Hasanaginicom kad ugleda svoju djecu na vjenčanom putu?;Veseli se;Bježi od muževa;Umire od tuge – pada s konja mrtva;Vraća se prvom mužu;c;1.0
Hasanaginica;Kviz: Hasanaginica;Koji motiv pokreće tragičan kraj Hasanaginice?;Ljubomora;Osveta;Materinska ljubav i bol zbog odvajanja od djece;Sram;c;1.0
Hasanaginica;Kviz: Hasanaginica;Šta djeca govore Hasanaginici na putu prema novom mužu?;Da ih ne može ni zagrliti jer su im ruke u zlatnim rukavima;Da odlaze s njom;Da su sretni;Da je mole da ostane;a;1.0
Hasanaginica;Kviz: Hasanaginica;Ko je Alija Isaković u kontekstu ove lektire?;Savremeni pisac koji je proučio i rekonstruio Hasanaginicu;Autor Hasanaginice;Prevodilac s turskog;Hasan-aga;a;1.0
Hasanaginica;Kviz: Hasanaginica;U kom je obliku zapisan tekst Hasanaginice koji se proučava?;U prozi;U desetercu – deseteračkim stihovima;U slobodnom stihu;U sonetu;b;1.0
Hasanaginica;Kviz: Hasanaginica;Koja Hasan-agina osobina uzrokuje tragediju?;Pohlepa;Ljubomora;Njegova čast i ponos – ne oprašta ženi što ga iz stida nije posjetila;Okrutnost;c;1.0
Hasanaginica;Kviz: Hasanaginica;Ko je prvi zapisao Hasanaginicu za Europu?;Vuk Stefanović Karadžić;Goethe;Walter Scott;Alberto Fortis;d;1.0
Hasanaginica;Kviz: Hasanaginica;Koji europski pisci su preveli ili komentirali Hasanaginicu?;Nitko;Goethe i drugi romantičari – bila je simbolom balkanske ljepote;Samo talijanski pisci;Samo engleski pisci;b;1.0
Hasanaginica;Kviz: Hasanaginica;Šta je posebno u prikazu ženinog položaja u Hasanaginici?;Žena je potpuno u vlasti muža i brata, bez prava na vlastitu odluku;Žena je slobodna i ravnopravna;Žena je jaka i pobijedi;Muž poštuje ženu;a;1.0
Hasanaginica;Kviz: Hasanaginica;Koji oblik stiha u Hasanaginici?;Osmac;Deseterac;Dvanasterac;Slobodni stih;b;1.0
Hasanaginica;Kviz: Hasanaginica;Koje je geografsko i kulturno podneblje Hasanaginice?;Slavonija;Crna Gora;Dalmatinska Zagora i hercegovina, muslimanski ambijent;Bosanska Posavina;c;1.0
Hasanaginica;Kviz: Hasanaginica;Šta Hasanaginica pita brata Pintorovića?;Da je odvede od djece;Da ubije Hasan-agu;Da joj da svilene darove da ih podijeli djeci kao uspomenu;Da je ne uda;c;1.0
Hasanaginica;Kviz: Hasanaginica;Šta je temeljni sukob u Hasanaginici?;Sukob između dva begovska roda;Sukob između majke i kćerke;Sukob između islama i kršćanstva;Sukob između individualne sreće i kolektivnih normi časti;d;1.0
Hasanaginica;Kviz: Hasanaginica;Šta simbolizira motiv 'golden ruku' – ruke djece umotane u zlatne rukavice?;Blokada komunikacije i neostvariv zagrljaj;Bogatstvo begovskog roda;Dječju sreću;Vjenčani dar;a;1.0
Hasanaginica;Kviz: Hasanaginica;Ko ima moć u ljubavnom trokutu: Hasanaginica, Hasan-aga, Pintorović?;Hasanaginica;Muškarci u potpunosti – Hasanaginica nema nikakvu moć;Oboje ravnopravno;Samo kadija;b;1.0
Hasanaginica;Kviz: Hasanaginica;Šta je Hasanaginica po ocjeni književnih kritičara?;Beznačajna regionalna pjesma;Jedno od najljepših epsko-lirskih ostvarenja usmene književnosti na Balkanu;Jedina muslimanska usmena pjesma;Historijskii dokument;b;1.0
Hasanaginica;Kviz: Hasanaginica;Šta je 'Morlacchi' u djelu Alberta Fortisa gdje se pojavljuje Hasanaginica?;Naziv za slavensko stanovništvo u Dalmaciji koje je Fortis opisivao;Pleme s kojim se Fortis svadia;Naziv za muslimane;Ime dalmatinskog grada;a;1.0
Hasanaginica;Kviz: Hasanaginica;Koliko djece ima Hasanaginica s Hasan-agom?;Dvoje;Troje;Petero;Jedno;c;1.0
Hasanaginica;Kviz: Hasanaginica;Šta nam Hasanaginica govori o pojmu časti u patrijarhalnoj kulturi?;Čast je nevažna;Žena čuva čast porodice;Čast se stiče bogatstvom;Čast muškarca je nadređena ljubavi i sreći žene i djece;d;1.0
Hasanaginica;Kviz: Hasanaginica;Šta je najupečatljiviji trenutak u pjesmi?;Hasan-agin bijeg;Smrt Hasanaginice na putu prema novom mužu dok gleda djecu;Brat koji je daje drugom mužu;Djeca koja plačau;b;1.0
