"bookTitle";"quizTitle";"questionText";"optionA";"optionB";"optionC";"optionD";"correctAnswer";"points"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koje su tri glavne palestinske izbjeglice koje pokušavaju doći do Kuvajta?";"Abu Kais, Assad i Maruan";"Samir, Tariq i Jamal";"Khalid, Omar i Yusuf";"Ibrahim, Salih i Hassan";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Kome se trojica Palestinaca obraćaju za pomoć pri ilegalnom prelasku granice?";"Kuvajdskom diplomatskom agentu";"Vozaču kamiona Abul Khaizeranu";"Sunarodniku koji živi u gradu";"Tamošnjem švercu Hassanu";"b";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Kako se zove vozač cisterne koji prevozi trojicu izbjeglica?";"Abul Khaizeranu";"Maruan";"Abu Kais";"Assad";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Na koji način trojica muškaraca prelaze granicu?";"Preodjeveni u vojnike";"Kopajući tunel ispod granice";"U prtljažniku automobila";"Skriveni unutar vruće cisterne za vodu, u gušećoj vrućini";"d";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što je Abul Khaizeran izgubio u ratu?";"Svoju muškost – kastriran je u ratu";"Imovinu i dom";"Desnu ruku";"Porodicu";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Zašto se trojica muškaraca upuštaju u ovaj opasni put?";"Zbog siromaštva i bezizlaznog stanja izbjegličkih logora – traže ekonomsku budućnost";"Jer žele se boriti";"Jer bježe od zakona";"Iz znatiželje i avanturizma";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što se dogodi s trojicom muškaraca unutar cisterne?";"Bivaju otkriveni i uhapšeni";"Uspijevaju pobjeći iz cisterne";"Sigurno stižu do Kuvajta";"Ugušavaju se i ginu u strašnoj vrućini";"d";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Zašto Abul Khaizeran nije zaustavio cisternu na vrijeme da ih spasi?";"Nije znao da su unutra";"Namjerno ih je ostavio";"Trajalo je predugo na graničnom prijelazu zbog razgovora s carinicima";"Nije čuo njihove glasove";"c";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"S čim Abul Khaizeran završava – šta čini s tijelima?";"Zakapa ih u pustinji";"Vraća tijela porodicama";"Prijavljuje ih policiji";"Baca ih u smetlište";"d";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koje je ključno pitanje koje Abul Khaizeran postavlja na kraju novele?";"'Ko je za to kriv?'";"'Zašto nisu kucali?'";"'Zašto ih nisam spasio?'";"'Zašto su krenuli?'";"b";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što cisterna simbolizira u noveli?";"Palestinsku sudbinu – zatvoren, vrući prostor bez izlaza i bez zraka slobode";"Put ka spasu";"Modernu tehnologiju";"Bogatstvo Kuvajta";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koliko je mlad Maruan, najmlađi od trojice?";"Sedamnaest godina – gotovo još dijete";"Dvadeset i dvije godine";"Petnaest godina";"Trideset godina";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što Abu Kais sanja i za čim čezne?";"Za porodicom koja ga čeka";"Za povratkom u vojsku";"Za vlastitom zemljom i maslinama koje je ostavio";"Za bogatim životom u Kuvajtu";"c";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koji je politički kontekst novele?";"Palestinska emigracija i bezdomnost nakon osnivanja Izraela 1948.";"Arapski proljeće";"Iračko-iranski rat";"Naftna kriza 1973.";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koliko je kratka novela 'Ljudi na suncu'?";"Opširan roman od 400 stranica";"Srednje duga novela od 200 stranica";"Veoma kratka – manje od stotinu stranica, ali jezgrovite snage";"Kratka priča od 20 stranica";"c";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što Assadova priča otkriva o njemu?";"Bivši je vojnik";"Mlad je i ciničan – pokušao je preći granicu i ranije, te zna kako sustav funkcionira";"Bogat je i plaća prelaz";"Ima porodicu u Kuvajtu";"b";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koje su teme novele 'Ljudi na suncu'?";"Izgnaništvo, bespomoćnost, palestinska sudbina i moralna odgovornost";"Religija i duhovnost";"Ljubav i porodica";"Ekonomski razvoj arapskog svijeta";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Kako Kanafani prikazuje arapske države prema palestinskim izbjeglicama?";"S otvorenom neprijatelštvom";"S financijskom pomoći";"Ravnodušno i hladno – bogate arapske zemlje gledaju kroz prste na palestinsku patnju";"S bratskom solidarnošću";"c";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što smrt trojice muškaraca znači simbolički?";"Smrt nade i dostojanstven nestanak jedne generacije Palestinaca";"Nesreću uzrokovanu lošim planiranjem";"Tragičan ali jedinstven slučaj";"Grešku vozača";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Na kom jeziku je Kanafani pisao?";"Na hebrejskom";"Na engleskom";"Na francuskom";"Na arapskom";"d";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što novela govori o tišini i šutnji?";"Da je šutnja oblik otpora";"Da je šutnja unutar cisterne smrtonosna – nisu kucali, nisu tražili pomoć";"Šutnja nije tema novele";"Da šutnja štiti od vlasti";"b";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Kako je Abul Khaizeran opisana kao lik?";"Negativan i sebičan čovjek";"Tragičan – sam je žrtva rata ali postaje nehotice krivac za tuđu smrt";"Heroj koji pokušava pomoći";"Ravnodušan i nemoralan";"b";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što smetlište gdje Abul Khaizeran baca tijela simbolizira?";"Kako arapski i svjetski sistem tretira Palestince – kao otpatke";"Khaizeranovu okrutnost";"Fizičku nužnost";"Kuvajtski odnos prema doseljenicima";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Zašto je novela važna u palestinskoj književnosti?";"Jer je napisana u Kuvajtu";"Jedna je od prvih i najsnažnijih književnih prikaza palestinskog izbjegličkog iskustva";"Jer opisuje osnivanje Izraela";"Jer je Kanafani Nobelov laureat";"b";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što je Gassan Kanafani bio osim pisca?";"Novinar koji nikad nije bio politički aktivan";"Diplomata";"Vojni zapovjednik";"Politički aktivist i glasnogovornik PFLP-a, ubijen u atentatu 1972.";"d";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koliko godina ima Assad?";"Pedeset";"Trideset i pet";"Oko dvadeset i osam";"Sedamnaest";"c";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koje je doba godine kada se odvija radnja?";"Ljeto – pustinjska vrućina je ubojita i centralna za priču";"Zima";"Jesen";"Proljeće";"a";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Što Abu Kais osjeća prema mlađima s kojima putuje?";"Ravnodušnost";"Takmičarski duh";"Očinsku brigu i suosjećanje";"Zavist i ljubomoru";"c";"1"
"Ljudi na suncu";"Kviz: Ljudi na suncu";"Koji je narativni postupak koji Kanafani koristi?";"Dnevnički zapisi";"Pismo glavnog lika";"Retrospekcija i fragmentirani prikaz priča svakog lika naizmjenično";"Linearna hronološka priča";"c";"1"
