bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Grozdanin kikot;Kviz: Grozdanin kikot;Kako se zove glavna junakinja romana 'Grozdanin kikot'?;Mara;Grozdana;Fatima;Zlata;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Gdje se odvija radnja romana?;U Travniku;U Hercegovini, u seoskom ambijentu;U Sarajevu;U Mostaru;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što je 'kikot' u naslovu romana?;Vrsta narodne pjesme;Vrsta tradicionalnog plesa;Naziv sela;Grozdanin smijeh – simbol njene prirode i vitalnosti;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kakav je Grozdanin karakter?;Pokorна i sramežljiva;Slobodna, vitalna, strasna i duboko prirodna žena;Pobunjenica koja se otvoreno bori za prava;Hladna i proračunata;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;U koga je Grozdana zaljubljena?;U stranca iz grada;U mladića koji ne može biti s njom zbog društvenih prepreka;Ne zaljubljuje se ni u koga;U bogatog seoskog starješinu;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Koji je suštinski sukob u romanu?;Između vjere i nevjerovanja;Između Bošnjaka i Srba;Između siromaštva i bogatstva;Između slobodnog, prirodnog osjećaja i krutih društvenih normi;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Koji književni pravac obilježava roman 'Grozdanin kikot'?;Naturalizam;Ekspresionizam;Realizam s lirskim i romantičarskim elementima;Modernizam;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kako priroda funkcionira u romanu?;Samo kao pasivna pozadina;Kao prijetnja i izvor opasnosti;Kao živ, emotivan prostor koji odražava Grozdanina unutarnja stanja;Kao simbol bogatstva;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kakva je sudbina Grozdanine ljubavi?;Grozdana odustaje od ljubavi iz vlastite volje;Sretna – par se na kraju vjenča;Tragična – ljubav ne može biti ostvarena u datim okolnostima;Ljubavnik odlazi u rat i gine;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što Grozdanin smijeh – kikot – simbolizira u romanu?;Njenu životnu snagu, slobodu i otpor konvencijama;Ismijavanje tradicije;Njenu lakomislenost i neodgovornost;Bol prikrivenu smijehom;a;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kako je prikazana zajednica oko Grozdane?;Otvorena i tolerantna;Konzervativna i zatvorena, kontrolira ponašanje pojedinca;Zajednica je bezbitna za radnju;Zajednica podržava Grozdaninu slobodu;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Koja je uloga narodne tradicije i kulture u romanu?;Pozitivna – tradicija oslobađa likove;Sporedna – tradicija se rijetko spominje;Negativna – tradicija je prikazana isključivo kao zlo;Centralna – tradicija oblikuje i ograničava likove;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kako Hamza Humo prikazuje bosanskohercegovačko selo?;Isključivo negativno i mračno;Folkloristički i dokumentarno;Idealistički i bez ikakve kritike;Lirski i s ljubavlju, ali i kritički prema ograničenjima ruralnog života;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što se dešava s Grezdanom na kraju romana?;Ostaje bez ostvarene ljubavi, slomljene nade ali sačuvanog duha;Odlazi iz sela;Umire;Udaje se za voljenog;a;1
