bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Stepski vuk;Kviz: Stepski vuk;Kako se zove glavni junak romana 'Stepski vuk'?;Harry Haller;Karl Hermine;Peter Haller;Hermann Hesse;a;1
Stepski vuk;Kviz: Stepski vuk;Što je 'stepski vuk' u kontekstu romana?;Harryjeva unutarnja, divlja i otuđena strana koja je u stalnom sukobu s građanskim dijelom ličnosti;Pravi vuk kojeg Harry drži kao ljubimca;Nadimak koji mu daju susjedi;Harryjevo djetinjstvo na stepi;a;1
Stepski vuk;Kviz: Stepski vuk;Kakav je Harry Hallerov odnos prema građanskom društvu?;Prezir i otuđenost, ali i skrivena čežnja za redom i toplinom doma;Puno prihvatanje i integracija;Otvorena politička pobuna;Potpuna ravnodušnost;a;1
Stepski vuk;Kviz: Stepski vuk;Kako je roman formalno organiziran?;Kao zbirka pisama;Kao klasičan roman s jednim naratorom;Kao dramski tekst;Okvir s predgovorom koji uvodi 'Harryjeve zapise' kao nađenu rukopis;d;1
Stepski vuk;Kviz: Stepski vuk;Kako se zove žena koja Harryja uvodi u novi način života?;Maria;Hermine;Rosa;Gretchen;b;1
Stepski vuk;Kviz: Stepski vuk;Što Hermine znači za Harryja?;Jednostavna ljubavna veza;Simbol građanskog svijeta kojeg prezire;Politička saveznica;Ogledalo njegove duše i vodilja prema samospoznaji;d;1
Stepski vuk;Kviz: Stepski vuk;Ko je Pablo u romanu?;Profesor filozofije;Saksofonistaи hedonist koji Harryja uvodi u magični teatar;Harryjeva supruga;Harryjeva prijatelj iz djetinjstva;b;1
Stepski vuk;Kviz: Stepski vuk;Što je 'Magični teatar' u romanu?;Halucinacija uzrokovana alkoholom;Unutarnji prostor duše gdje se suočava s višestrukim mogućnostima vlastite ličnosti;San koji Harry sanja;Pravo kazalište u gradu;b;1
Stepski vuk;Kviz: Stepski vuk;Koji je suštinski problem koji Harry doživljava?;Financijska kriza i siromaštvo;Fizička bolest;Razdijeljenost između civiliziranog i instinktivnog – on se osjeća ni čovjekom ni vukom;Politički progon;c;1
Stepski vuk;Kviz: Stepski vuk;Što se događa u kulminaciji romana u Magičnom teatru?;Harry napušta grad i odlazi na stepu;Harry i Hermine bježe zajedno;Harry ubija Hermine (ili njen lik) i suočava se s posljedicama;Harry nalazi mir i integriše svoju ličnost;c;1
Stepski vuk;Kviz: Stepski vuk;Koja je Harryjeva dob u romanu?;Oko pedesete – sredovječan i u krizi identiteta;Dvadesetak – mlad i u potrazi za sobom;Sedamdesetak – pred kraj života;Tridesetak – u zenitu snage;a;1
Stepski vuk;Kviz: Stepski vuk;Što Harry Haller misli o muzici?;Klasičnu muziku obožava, ali jazz i modernu glazbu isprva prezire;Obožava svu muziku podjednako;Muzika mu je potpuno nevažna;Mrzi sve vrste muzike;a;1
Stepski vuk;Kviz: Stepski vuk;Kakva je promjena u Harryvom stavu prema jazzu tokom romana?;Postaje strastveni džez muzičar;Ostaje pri svom početnom preziru;Jazz mu uzrokuje fizičku bol;Postepeno ga prihvaća kao oblik vitalnosti i slobode;d;1
Stepski vuk;Kviz: Stepski vuk;Što 'traktat o stepskom vuku' – knjižica u romanu – govori?;Da moderno društvo treba biti uništeno;Da je Harry poseban i jedinstven slučaj;Da čovjek nije podijeljen na dvoje, nego je zapravo mnoštvo različitih jastva;Da je stepski vuk prirođeno zlo;c;1
Stepski vuk;Kviz: Stepski vuk;Što Harry pronalazi u traktu koji netko neočekivano gurne?;'Traktat o stepskom vuku' – tekst koji analizira njegovu ličnost;Pozivnicu za kazalište;Ljubavno pismo od Hermine;Policijsku potjernicu;a;1
Stepski vuk;Kviz: Stepski vuk;Što Pablo nudi Harryju u Magičnom teatru?;Romansu;Bijeg iz grada;Pristup unutarnjim sobama duše kroz droge i vizije;Poslovnu ponudu;c;1
Stepski vuk;Kviz: Stepski vuk;Zašto Harry isprva planira samoubojstvo?;Zbog neizlječive bolesti;Jer ne nalazi smisla u životu i ne može podnijeti rascijepljenost vlastite ličnosti;Zbog financijskog bankrota;Zbog ljubomore;b;1
Stepski vuk;Kviz: Stepski vuk;Koji su 'Besmrtnici' u kontekstu romana?;Susjedi u zgradi;Glazbenici u noćnom klubu;Veliki duhovi čovječanstva (Mozart, Goethe) koji su prevladali ograničenja svog vremena;Superjunaci iz Harryjeve mašte;c;1
Stepski vuk;Kviz: Stepski vuk;Kakav je Harryjev odnos prema Goetheu?;Prezire ga kao simbol buržoaske kulture;Duboko ga poštuje kao besmrtnog duha ali sanja o njemu i konfrontira se s njim;Piše o njemu akademsku studiju;Potpuno mu je ravnodušan;b;1
Stepski vuk;Kviz: Stepski vuk;Što Hermine traži od Harryja na kraju?;Da zajedno pobjegnu;Da napišu knjigu o njoj;Da je ubije kada dođe pravi trenutak;Da je oženi;c;1
Stepski vuk;Kviz: Stepski vuk;Koja je poruka Magičnog teatra 'za lude'?;Da je Harry lud i treba liječenje;Da je sreća samo u uživanju;Da je stvarnost fluidna i da ja postoji kao mnoštvo, ne kao jedinstvo;Da je smrt jedini izlaz;c;1
Stepski vuk;Kviz: Stepski vuk;Što roman govori o krizi modernog čovjeka?;O gubitku vjerske vjere;O ekonomskim problemima industrijskog društva;O političkoj apatiji;O rascijepljenosti između duhovnog i animalnog, između individualizma i konformizma;d;1
Stepski vuk;Kviz: Stepski vuk;Kako Pablo i Hermine funkcioniraju kao simboli?;Hermine = prošlost, Pablo = budućnost;Hermine = ogledalo duše, Pablo = put ka uživanju i oslobađanju;Hermine = razum, Pablo = osjećaj;Oba simboliziraju smrt;b;1
Stepski vuk;Kviz: Stepski vuk;Što Harry uči kroz Magični teatar?;Da je smijeh i humor nužan za preživljavanje egzistencijalnog bola;Da treba prihvatiti smrt;Da su sve emocije iluzija;Da je građanski život jedina istina;a;1
Stepski vuk;Kviz: Stepski vuk;Zašto Harry ne biva kažnjen smrću za 'ubojstvo' Hermine?;Jer je Hermine zapravo preživjela;Jer Pablo preuzima krivnju;Jer policija ne vjeruje u ubojstvo;Jer Besmrtnici presuđuju da treba nastaviti živjeti i učiti se smijehu;d;1
