bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Aulularia;Kviz: Aulularia;Ko je Euklio u Plautovoj Aulularii?;Siromašni starac koji nađe punu kutiju zlata;Bogati bankir;Mladi vojnik;Bogati vlastelin;a;1.0
Aulularia;Kviz: Aulularia;Šta Euklion nađe u svojoj kući?;Kutiju punu zlata;Skriven mač;Staro pismo;Dragocjeni prsten;a;1.0
Aulularia;Kviz: Aulularia;Šta Euklion radi s kutijom zlata?;Dijeli ga susjedima;Opsesivno je krije i premješta iz mjesta na mjesto;Daje ga na čuvanje sinu;Donira hramu;b;1.0
Aulularia;Kviz: Aulularia;Kako se zove Euklionova kćerka?;Fedra;Fedra;Fedria;Fedra;c;1.0
Aulularia;Kviz: Aulularia;U koga je Fedria trudna bez braka?;Euklionovog roba;Stranca iz drugog grada;Megadora;Likonida, sinovca bogatog Megadora;d;1.0
Aulularia;Kviz: Aulularia;Ko je Megador i šta želi od Eukliona?;Bogati susjed koji želi oženiti Euklionovu kćerku bez miraza;Susjed koji hoće kupiti Euklionovu kuću;Stari vojnik koji se vraća;Euklionov brat;a;1.0
Aulularia;Kviz: Aulularia;Zašto Euklion pristane na Megadorovu ponudu?;Jer mu se dopada Megador;Jer ne zna za Fedrijinu trudnoću;Jer ga je prisilio;Jer Megador ne traži miraz i to mu odgovara;d;1.0
Aulularia;Kviz: Aulularia;Ko ukrade Euklionovo zlato?;Megador;Sam Likonid;Likonidov rob Strobilije;Kuvar;c;1.0
Aulularia;Kviz: Aulularia;Šta Likonid učini u drami?;Uzme zlato i pobjegne;Prizna što je učinio i oženi Fedriju;Otruje Eukliona;Pobjegne iz grada;b;1.0
Aulularia;Kviz: Aulularia;Šta je sačuvano od završetka Aulularie?;Samo argument i jedan sažetak – kraj je izgubljen;Cjeli tekst;Samo zadnja scena;Cijela zadnja činova;a;1.0
Aulularia;Kviz: Aulularia;Šta je Euklio liku sličan u kasnijoj tradiciji?;Don Kihotu;Svi navedeni;Shakespearovom Shylocku;Molièreovom Harpagoonu u Tvrdici;d;1.0
Aulularia;Kviz: Aulularia;Koji je temeljni komički motiv Aulularie?;Ljubavna priča;Vojnička hvalisavost;Pohlepa i opsesija s blagom koja uništava svakodnevni razum;Rodne uloge;c;1.0
Aulularia;Kviz: Aulularia;Šta Rob Strobilije čini s ukradenim zlatom?;Vrati Likonidu koji ga onda vrati Euklioonu;Zadrži ga za sebe;Baci ga u rijeku;Podijeli s drugima robovima;a;1.0
Aulularia;Kviz: Aulularia;Koji lik u drami predstavlja inteligentnog roba koji pomáže zapletima?;Euklion;Likonid;Megador;Strobilije;d;1.0
Aulularia;Kviz: Aulularia;Šta Plaut koristi Aululario da bi kritizira?;Vojsku;Politiku Rima;Škrtost i opsesiju novcem kao izvor nesreće i komičnih situacija;Religijonost;c;1.0
Aulularia;Kviz: Aulularia;Koji je žanr Aulularie?;Tragedija;Komedija (fabula palliata);Ep;Satira;b;1.0
Aulularia;Kviz: Aulularia;Šta se pretpostavlja da se dogodi na izgubljenom kraju Aulularie?;Euklion umre;Megador dobije Fedriju;Euklion da zlatoo Likonidu, koji se uda za Fedriju;Zlato se izgubi zauvijek;c;1.0
Aulularia;Kviz: Aulularia;Koje su Plautove komedije bile uzor europskim piscima poput Molierea?;Niti jedna;Samo Menaechmi;Samo Miles Gloriosus;Aulularia i druge – direktno utjecale na Tvrdicu i Shakespeareove komedije;d;1.0
Aulularia;Kviz: Aulularia;Ko su 'paraziti' u Plautovim komedijama poput Aulularie?;Strani vojnici;Robovi koji kuhaju;Bogati patres familias;Likovi koji žive na tuđim gazbama radi zabave, obično lakrdijaši;d;1.0
Aulularia;Kviz: Aulularia;Koji je Euklionov stav prema kuvaru kojeg angažira za svadbu?;Paranoičan – sumnja da mu želi ukrasti zlato;Veseo i zahvalan;Ravnodušan;Zadovoljan;a;1.0
Aulularia;Kviz: Aulularia;Šta Lare (Lar Familiaris) rade u prologu Aulularie?;Ništa – to je samo ceremonija;Bog kućnog ognjišta objašnjava situaciju gledaocima;Posjete Eukliona;Donose zlato;b;1.0
Aulularia;Kviz: Aulularia;Koji rimski društveni fenomen Plaut satirizira kroz lik Megadora?;Brak iz interesa i nejednakost u braku;Vojnu oholost;Korupciju;Robovlasništvo;a;1.0
Aulularia;Kviz: Aulularia;Koliko je Aulularia utjecala na svjetsku književnost?;Nimalo;Ogromno – kao prototip komedije škrtca i izvor Moliereovog Tvrdice;Samo u Italiji;Samo u Španiji;b;1.0
Aulularia;Kviz: Aulularia;Zašto je Euklionov djed zakopao zlato?;Jer je bio škrt;Da ga ne podijeli rodbini iz škrtosti;Da ga sakrije od poreza;Slučajno;b;1.0
Aulularia;Kviz: Aulularia;Kako Euklion tretira svoju ropkinju Stafilu?;Pažljivo i ljubazno;Grubo i sumnjičavo;Ravnodušno;Kao člana porodice;b;1.0
Aulularia;Kviz: Aulularia;Koje je stanje rimskog društva Plaut slika kroz likove u Aulularii?;Mirno i uređeno;Propadajuće zbog ratova;Napeto između bogatih i siromašnih, s pohlepom kao središnjom manom;Harmonično;c;1.0
