"bookTitle";"quizTitle";"questionText";"optionA";"optionB";"optionC";"optionD";"correctAnswer";"points"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Ko je narator romana 'Sezona seobe na sjever'?";"Engleski kolonijalni činovnik";"Mladi Sudanac koji se vraća iz Engleske nakon studija";"Mustafa Said sam";"Sudanski ljekar";"b";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kako se zove tajanstveni stranac koga narator upoznaje u selu?";"Mustafa Said";"Ibrahim al-Hajj";"Mahmoud";"Ahmed Wad Rayyes";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta Mustafa Said skriva od sela?";"Bavljenje politikom";"Veliku količinu novca";"Svoju prošlost u Engleskoj, gdje je svjesno zavodio i uništavao Europljankinje";"Pravo ime i porijeklo";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta Mustafa Said radi s europskim ženama koje osvaja?";"Ženi se s njima";"Osveta za kolonijalizam – koristi svoju egzotičnost kao oružje i uništava ih";"Pomaže im financijski";"Bježi od odgovornosti";"b";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kakva je sudbina Mustafe Saida na kraju romana?";"Vraća se u Englesku";"Nestaje u rijeci – vjerovatno utopljen, ali ostaje neizvjesno";"Ubijen je u selu";"Odlazi u Kairo";"b";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Ko je Hosna Bint Mahmoud i kakva je njena sudbina?";"Mustafina majka";"Naratorova zaručnica";"Seoska ljekarica";"Mustafina udovica koja se ubija zajedno s muškarcem koji je na silu uzima";"d";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta Mustafa Said ostavlja naratoru?";"Ključ od zaključane sobe pune europskih knjiga i njene prošlosti";"Ništa – narator pronalazi sobe slučajno";"Novac i imovinu";"Pisma za porodicu";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Što je u zaključanoj sobi koju narator konačno otvori?";"Europska soba puna europskih knjiga i predmeta – Mustafin drugi, skriveni identitet";"Zlato i nakit";"Mrtva tijela";"Muslimanske knjige i kur'an";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Koja je centralna metafora romana?";"Brod kao bijeg";"Grad kao ropstvo";"Rijeka Nil – granica između Sjevera i Juga, prošlosti i sadašnjosti, kolonizatora i koloniziranog";"Pustinja kao sloboda";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Što roman govori o kolonijalizmu?";"Da kolonijalni odnos uzajamno uništava i koloniziranog i kolonizatora";"Da je kolonijalizm prošlost bez utjecaja na sadašnjost";"Da je kolonijalizm isključivo politički fenomen";"Da je kolonijalizm donio napredak";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kako narator doživljava vlastiti povratak u Sudan?";"S potpunom mirnoćom";"S odbojnošću prema domovini";"S osjećajem rascijepljenosti između europskog obrazovanja i sudanskog identiteta";"S potpunom radošću i ushićenjem";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Koji književni postupak Tajib Salih koristi u naraciji?";"Višestruke naratora u isto vrijeme";"Linearnu hronologiju bez digresija";"Priča unutar priče – narator prikazuje Mustafinu prošlost kroz retrospekciju";"Dnevničke zapise";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta Mustafin lik simbolizira?";"Romantičnog avanturistu";"Pozitivnu integraciju Istoka i Zapada";"Afričkog čovjeka kojeg kolonijalizm deformira – i kao žrtvu i kao onog koji uzvraća";"Sudanskog patriotu";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"U kojoj afričkoj državi se odvija roman?";"U Etiopiji";"U Sudanu";"U Nigeriji";"U Egiptu";"b";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Koja je sudbina naratorova sela?";"Brana mijenja rijeku i potapa dio sela – metafora neminovnih promjena koje dolaze";"Selo cvjeta zahvaljujući naftnim prihodima";"Selo propada zbog suše";"Selo ostaje netaknuto i nepromijenjeno";"a";"1"
