bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Evgenije Onjegin;Kviz: Evgenije Onjegin;Čemu je Onjegin umoran i otuđen na početku romana?;Od siromaštva;Od porodičnih svađa;Od rata;Od praznog društvenog života i besposlice;d;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Kako se zove Tatjanin muž na kraju romana?;Vladimir Lenski;Moskovski general – knez N.;Brat Olge;Grof Nulin;b;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Šta Tatjana čini u noći nakon susreta s Onjeginom?;Posjeti ga;Ispriča sve sestri;Pobjegne od kuće;Napiše mu pismo ljubavne ispovijesti;d;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Kako Onjegin reagira na Tatjanino pismo?;Raduje se i prihvaća ljubav;Ignorira pismo;Hladno je odbi govoreći da nije stvoren za ljubav i brak;Pošalje joj dar;c;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Ko je Vladimir Lenski?;Tatjanin brat;Onjeginov mladi, romantičarski prijatelj;Tatjanin zaručnik;Lokalni vlastelin;b;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Zašto Onjegin i Lenski završe u dvoboju?;Onjegin namjerno flertuje s Olgom na Tatjaninom balu da bi naljutio Lenskog;Svađaju se oko nasljedstva;Lenski ga uvrijedi u javnosti;Svađaju se oko politike;a;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Šta se dogodi s Lenskim u dvoboju?;Onjegin ga promašuje;Lenski ranjen pobijedi;Onjegin ga ubije;Obojica odustanu;c;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Kako se zove Tatjanina sestra?;Nataša;Vera;Olga;Sonja;c;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Što Onjegin čini godinama nakon dvoboja?;Putuje po Rusiji i Europi;Živi mirno na selu;Postaje vojnik;Ženi se;a;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Kako se Tatjana promijeni do kraja romana?;Postaje ugledna, zrela i dostojanstvena gospođa u Petersburgu;Ostaje naivna provincijalna djevojka;Postane redovnica;Umre mlada;a;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Ko se sad zaljubi u Tatjanu na kraju romana?;Lenski;Njen muž;Onjegin;Knez Gremin;c;1.0
Evgenije Onjegin;Kviz: Evgenije Onjegin;Kako Tatjana odgovori Onjeginu kad mu on iskaže ljubav?;Prihvaća ga;Pobjegne;Ignorira ga;Kaže da ga voli ali ostaje vjerna mužu;d;1.0
