bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Majstor i Margarita;Kviz: Majstor i Margarita;Ko je Woland u romanu 'Majstor i Margarita'?;Đavo koji dolazi u Moskvu i sije haos;Pozorišni redatelj;Strani diplomat u Moskvi;Tajni policijski agent;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Koga Woland sreće na Patrijarhovim ribnjacima na početku romana?;Berlioze i Bezdomnog, književnike;Dvojicu stranaca;Majstora i Margaritu;Pontija Pilata i Kajfu;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što se dešava s Berliozom na početku romana?;Pada pod tramvaj i gine – tačno kako mu Woland proriče;Uhapšen je i odveden u logor;Nestaje bez traga;Pobježi iz Moskve;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Ko je Majstor u romanu?;Pisac koji je napisao roman o Pontiju Pilatu i koji je zbog toga završio u psihijatrijskoj bolnici;Direktor moskovskog teatra;Berliozov prijatelj;Wolandov najvjerniji sluga;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Zašto je Majstor spalio rukopis svog romana?;Da zaštiti Margaritu;Zbog straha i razočaranja nakon odbijanja i kritike;Jer je sam uvjeren da je loš;Na Wolandov zahtjev;b;1
Majstor i Margarita;Kviz: Majstor i Margarita;Koji je legendarni citat iz romana o rukopisima?;'Istina uvijek pobijedi';'Rukopisi ne gore';'Ljubav je jača od straha';'Đavo uvijek laže';b;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što Margarita čini kako bi spasila Majstora?;Potkupljuje cenzore;Sama piše novo djelo u njegovo ime;Odlazi vlastima i podnosi molbu;Sklapa pakt s đavolom i postaje vještica na Wolandovom balu;d;1
Majstor i Margarita;Kviz: Majstor i Margarita;Koji je Wolandov sluga koji igra ključnu komičnu ulogu?;Hella;Azazelo;Korovjev;Behemot – ogromna crna mačka koja hoda na dvije noge;d;1
Majstor i Margarita;Kviz: Majstor i Margarita;Ko je Korovjev / Fagot u romanu?;Cenzor koji progoni Majstora;Berliozov urednik;Wolandov sluga – visoki, dugi čovjek s lorgnjonom, pun humora i prevara;Moskovska policajac;c;1
Majstor i Margarita;Kviz: Majstor i Margarita;Na koji historijski period i lik se odnosi paralelna radnja u Jeruzalemu?;Na Mojsijev izlazak iz Egipta;Na Abrahamovu žrtvu;Na suđenje i razgovor između Pontija Pilata i Ješue Ha-Nocri;Na Kristovo čudo s ribama i kruhom;c;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što Pontije Pilat osjeća prema Ješui?;Strah jer ga smatra čarobnjakom;Ravnodušnost;Divljenje i unutarnji sukob – želi ga spasiti ali se boji vlasti;Čisti prezir i mržnju;c;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što je Wolandov 'veliki bal'?;Ekstravagantan noćni bal mrtvih grešnika i zlikovaca na kojem Margarita bude domaćica;Sahrana Berlioze;Moskovska kazališna priredba;Diplomatski prijem;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Ko je Azazelo u Wolandovoj pratnji?;Mačka Behemot;Demon s jednim crvenim okom, bavi se fizičkim 'zadacima';Lijepa žena vampir;Wolandov šofer;b;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što se dešava s moskovskim dužnosnicima i direktorima koje Woland posjeti?;Dobivaju posebne privilegije;Završavaju u psihijatrijskim ustanovama, Jalti ili u sramotnim situacijama;Postaju Wolandovi sluge;Bivaju oslobođeni i nagrađeni;b;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što roman satirizira kroz moskovske epizode?;Religiozni fanatizam;Rusku carsku prošlost;Sovjetski birokratski sistem, pohlepu, licemerje i konformizam;Zapadni kapitalizam;c;1
Majstor i Margarita;Kviz: Majstor i Margarita;Kakva je sudbina Majstora i Margarite na kraju romana?;Umiru i nestaju bez traga;Dobivaju 'mir' – nisu ni u raju ni u paklu, nego u vječnom spokoju;Odlaze u raj;Ostaju u Moskvi;b;1
Majstor i Margarita;Kviz: Majstor i Margarita;Ko donosi Majstoru i Margariti vijest o njihovoj konačnoj sudbini?;Sam Woland;Korovjev;Levi Matej, Ješuin učenik, u ime onih koji vladaju svjetlošću;Behemot;c;1
Majstor i Margarita;Kviz: Majstor i Margarita;Zašto Pontije Pilat trpi vječnu kaznu?;Jer je bio okrutni tiranin;Jer je ubio nedužnog čovjeka iz mržnje;Jer iz kukavičluka nije spasio Ješuu kad je imao moć to učiniti;Jer je poricao postojanje Boga;c;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što Ivan Bezdomni proživljava tokom romana?;Bježi iz Moskve;Pronalazi Majstorov rukopis;Postaje Wolandov sluga;Preobrazbu iz naivnog propagandnog pjesnika u čovjeka koji razumije istinu;d;1
Majstor i Margarita;Kviz: Majstor i Margarita;Koji je ishod Wolandovog 'crnomagorskog programa' u moskovskom pozorištu?;Publika je oduševljena i nagrađena;Program biva zabranjen odmah na početku;Pozorište izgori;Chaos – publika je ponižena, razgolicana i sramoti se;d;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što Majstorov roman o Pilatu i Ješui govori Wolandu o Majstoru?;Da Majstor ne razumije Wolandovu prirodu;Da Majstor posjeduje istinsku intuiciju i talent koji transcendira propagandu;Da je Majstor religijozni fanatik;Da je Majstor potencijalni Wolandov sluga;b;1
Majstor i Margarita;Kviz: Majstor i Margarita;Zašto je Margarita posebna kao lik?;Jer je politička agentica;Jer iz ljubavi pristaje na sve – pakt s đavolom – i time pokazuje da je ljubav iznad moralnih kategorija;Jer je jedina koja vidi Wolandovu pravu prirodu od početka;Jer je sama vještica od rođenja;b;1
Majstor i Margarita;Kviz: Majstor i Margarita;U kojim uvjetima Bulgakov piše ovaj roman?;Za vrijeme Prvog svjetskog rata;Slobodno i s podrškom Sovjetske vlasti;U emigraciji u Francuskoj;U tajnosti za vrijeme Staljinove vladavine, svjestan da ga možda neće moći objaviti;d;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što je 'loša stanova' i koji je njen značaj?;Majstorova psihijatrijska ćelija;Berliozeova redakcija;Margaritina kuća;Wolandov stan br. 50 – odakle on i pratnja vladaju Moskvom i kamo završavaju oni koji ih iritiraju;d;1
Majstor i Margarita;Kviz: Majstor i Margarita;Koji je Wolandov stav prema ljudima i njihovim manama?;Ironičan ali ne bez određene simpatije – smatra da su oni ostali isti kroz vijekove;Oduševljenje i divljenje;Sućut i žalost;Dubok prezir;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Kako Hella funkcionira u Wolandovoj pratnji?;Kao atraktivna vampirica koja služi i zavodi;Kao glasnik između svjetova;Kao čuvarica Wolandovog blaga;Kao računovođa;a;1
Majstor i Margarita;Kviz: Majstor i Margarita;Što Woland na kraju čini s rukopisom koji je Majstor spalio?;Majstor ga piše ponovo iz sjećanja;Rukopis ostaje izgubljen;Margarita ga pronalazi u arhivi;Vraća ga – jer rukopisi ne gore;d;1
