bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Dani;Kviz: Dani;Kako je Taha Husein ostao bez vida?;Rođen je slijep;Izgubio je vid u prometnoj nesreći;U ranom djetinjstvu, zbog bolesti liječene pogrešnim narodnim lijekovima;Ostao je slijep zbog ratnog ranjavanja;c;1
Dani;Kviz: Dani;U kojim godinama Husein gubi vid?;Pri samom rođenju;Oko treće godine života;U dvanaestoj godini;Kao odrastao čovjek;b;1
Dani;Kviz: Dani;Na koji je način napisan roman 'Dani'?;U prvom licu, direktno autobiografski;U trećem licu, kao da autor piše o nekom drugom djetetu;Kao pisma prijatelju;Kao filozofski esej;b;1
Dani;Kviz: Dani;Gdje se odvija radnja prvog dijela romana?;U seoskom kraju gornjeg Egipta;U Kairu;U Aleksandriji;U Francuskoj;a;1
Dani;Kviz: Dani;Čime se mladi Husein bavi u ranom djetinjstvu?;Radi u polju;Uči napamet Kuran u lokalnoj školi za vjersko obrazovanje – kuttabu;Prodaje robu na tržnici;Pohađa modernu državnu školu;b;1
Dani;Kviz: Dani;Kamo mladi Husein odlazi radi višeg školovanja?;U Aleksandriju;U Kairo, na Al-Azhar;U Englesku;U Francusku odmah nakon sela;b;1
Dani;Kviz: Dani;Kakvo je Huseinovo iskustvo na Al-Azharu?;Potpuno zadovoljstvo i duhovna ispunjenost;Radost zbog slobode i modernosti;Ravnodušnost bez jakih emocija;Razočarenje zbog rigidnih i zastarjelih metoda učenja bez kritičkog mišljenja;d;1
Dani;Kviz: Dani;Kakav je materijalni položaj Huseinove porodice?;Bogata i veoma ugledna;Beduinska porodica bez stalnog boravišta;Skromna, brojna porodica niže srednje klase;Aristokratska gradska porodica;c;1
Dani;Kviz: Dani;Na koji univerzitet Husein odlazi nakon razočaranja na Al-Azharu?;Na drugu islamsku medresu;Direktno u Francusku;Vraća se u rodni kraj;Na novoosnovani egipatski sekularni univerzitet;d;1
Dani;Kviz: Dani;U kojoj zemlji Husein završava doktorske studije?;U Francuskoj, u Parizu;U Engleskoj;U Italiji;U Turskoj;a;1
Dani;Kviz: Dani;S kim se Husein vjenča tokom boravka u Evropi?;S Egipćankom iz Kaira;S Europljankniom upoznatom tokom studija;S učiteljicom iz svog sela;Ostaje neoženjen do kraja romana;b;1
Dani;Kviz: Dani;Što Huseinova sljepoća simbolizira u romanu?;Kaznu Božiju za grijeh;Fizičku slabost i bespomoćnost;Unutarnji vid, inteligenciju i sposobnost dubljeg razumijevanja;Prepreku koja ga trajno sprečava u životu;c;1
Dani;Kviz: Dani;Što je kuttab u romanu?;Moderna državna osnovna škola;Islamski sud;Vojnička akademija;Tradicionalna škola za učenje i memoriranje Kurana;d;1
Dani;Kviz: Dani;Na kojem jeziku je izvorno napisan roman 'Dani'?;Na turskom;Na francuskom;Na perzijskom;Na arapskom;d;1
Dani;Kviz: Dani;Što 'Dani' govore o obrazovanju u Egiptu tog vremena?;O sukobu između tradicionalnog islamskog i modernog zapadnog obrazovnog sistema;O savršenosti Al-Azhara kao obrazovne institucije;O jedinstvenosti egipatskog obrazovnog sistema;O prednostima isključivo vjerskog obrazovanja;a;1
Dani;Kviz: Dani;Kako Huseinovi roditelji reaguju na njegovu sljepoću?;S brigom i prihvatanjem, ali ga katkad prečesto štite;S odbacivanjem i hladnoćom;S prekomjernom zaštitom koja mu ne da ni učiti;S potresenom ali hladnom ravnodušnošću;a;1
Dani;Kviz: Dani;Kakvo je Huseinovo sjećanje i sposobnost pamćenja?;Izuzetna – pamti gotovo sve što čuje;Prosječna;Oslabljena zbog sljepoće;Dobra samo za poeziju i stihove;a;1
Dani;Kviz: Dani;Što 'Dani' otkrivaju o Huseinovom duhovnom razvoju?;Produbljivanje vjere i odbacivanje svega modernog;Ravnodušnost prema duhovnim i religioznim pitanjima;Postepeno okretanje od isključivo tradicijskog ka racionalnom i modernom;Naglu i traumatičnu promjenu identiteta;c;1
Dani;Kviz: Dani;Zašto je roman 'Dani' revolucionaran u arapskoj književnosti?;Jer opisuje ratna zbivanja u Egiptu;Jer koristi isključivo dijalektalni arapski;Jer je prvi arapski roman koji se bavi ženskim likovima;Jedna je od prvih autobiografskih proza na arapskom i uvodi modernu narativnu tehniku;d;1
Dani;Kviz: Dani;Zašto Husein usvaja pisanje u trećem licu?;Da stvori književnu distancu i objektivnost prema vlastitom iskustvu;Jer ne želi otkriti pravi identitet;Zbog tadašnje književne konvencije u Egiptu;Jer je još uvijek slabovidem i ne može pisati;a;1
Dani;Kviz: Dani;Što odlazak u Francusku simbolizira u romanu?;Bijeg od islamske vjere i kulture;Traženje materijalnog bogatstva;Susret Istoka i Zapada, tradicije i modernosti;Odbacivanje porodice i zavičaja;c;1
Dani;Kviz: Dani;Kako Husein opisuje osjetila i percepciju, budući da ne vidi?;Sporadično i površno;Ne opisuje ih posebno;S velikom osjetljivošću – zvukovi, mirisi i dodiri nadoknađuju izostanak vida;Samo u kontekstu vjerskih iskustava;c;1
Dani;Kviz: Dani;Koji period egipatske historije opisuje 'Dani'?;Kraj 19. i početak 20. vijeka, period reformi i kulturnog buđenja;Faraonsko doba;Arapsko osvajanje Egipta;Drugi svjetski rat;a;1
Dani;Kviz: Dani;Kakvu ulogu ima majka u Huseinovom životu u romanu?;Odsutna i hladna majka;Emotivno centralnu – brižna i prisutna osoba koja ga oblikuje;Dominantna i stroga majka;Marginalna uloga bez utjecaja;b;1
Dani;Kviz: Dani;Što roman govori o životu slijepih u egipatskom društvu tog doba?;O potpunoj društvenoj izolaciji slijepih osoba;O ograničenjima ali i posebnim prilikama koje sljepoća paradoksalno otvara;O izvrsnoj podršci slijepima u tom periodu;O nemogućnosti obrazovanja za slijepe;b;1
Dani;Kviz: Dani;Koja je glavna poruka romana 'Dani'?;Tradicija je uvijek superiorna u odnosu na modernizam;Zapadna kultura je superiorna u svakom pogledu;Sljepoća je nepremostiva prepreka uspjehu;Snaga volje, znanja i hrabrosti može prevladati fizičke i društvene prepreke;d;1
Dani;Kviz: Dani;Na koji način je bolest liječena u Huseinovom djetinjstvu što je dovela do sljepoće?;Modernom medicinskom operacijom;Narodnim metodama koje su pogoršale stanje umjesto da ga izliječe;Religijskim obredima;Nije liječena – roditelji su prihvatili situaciju;b;1
Dani;Kviz: Dani;Što Husein u romanu postepeno uviđa o tadašnjem Al-Azharu?;Da je Al-Azhar savršena ustanova koja treba ostati kakva jest;Da Al-Azhar treba samo manje reformi;Da je zarobljen u dogmatizmu koji guši slobodno istraživanje i kritičko mišljenje;Da je Al-Azhar superiornan u odnosu na europske univerzitete;c;1
Dani;Kviz: Dani;Kako Husein doživljava grad Kairo u poređenju sa selom iz kojeg dolazi?;Kao manji i mirniji od svog sela;Kao grad koji ga odmah prihvata;Kao razočaranje – manji nego što je zamišljao;Kao golem, zastrašujuć i fascinantan novi svijet;d;1
Dani;Kviz: Dani;Zašto je lik malog Huseinau romanu toliko upečatljiv?;Jer prikazuje snagu duha koji raste i uprkos hendikepu i siromaštvu;Jer je jedinstven kao jedini slijepi lik u egipatskoj književnosti;Jer uvijek savladava prepreke lako i bez patnje;Jer je idealizovana, nerealna slika djetinjstva;a;1
