bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Antigona;Kviz: Antigona;Ko su sinovi kralja Edipa u Sofoklovoj Antigoni?;Kreont i Hajmon;Polinik i Kreont;Polinik i Eteokle;Eteokle i Hajmon;c;1.0
Antigona;Kviz: Antigona;Ko je Kreont?;Antigonin brat;Tebanin kralj, Antigonin stric;Antigonin zaručnik;Vojskovođa Polinikovog roda;b;1.0
Antigona;Kviz: Antigona;Šta Kreont naredi u pogledu Polinikova tijela?;Da se sahrani s počastima;Da ostane bez pogreba – nepokopano i nepožalovano;Da se baci u more;Da se spali;b;1.0
Antigona;Kviz: Antigona;Zašto Kreont zabrani Polinikov ukop?;Jer je Polinik napao rodni grad Tebu s vojskom;Jer ga ne voli;Jer mu je ukrao prijestolje;Jer ga je uvrijedio;a;1.0
Antigona;Kviz: Antigona;Šta Antigona učini usprkos Kreontovoj zabrani?;Pobjegne iz Tebe;Traži pomoć od naroda;Pokopa brata Polinika;Traži suočenje s Kreontom;c;1.0
Antigona;Kviz: Antigona;Koje su dvije vrste zakona u sukobu u Antigoni?;Vojni i civilni;Božanski (nepismeni) zakoni i ljudski (državni) zakoni;Zakon rodbine i zakon prijateljevanja;Moralni i religijski zakon;b;1.0
Antigona;Kviz: Antigona;Kako se zove Antigonina sestra?;Jokasta;Elektra;Hekuba;Ismena;d;1.0
Antigona;Kviz: Antigona;Šta Ismena odluči kad Antigona pozove je da pomogne u pokopu?;Pristaje odmah;Javi Kreontu;Odbija jer se boji Kreontovog zakona;Priprema pogreb sama;c;1.0
Antigona;Kviz: Antigona;Ko je Hajmon?;Kreontov brat;Antigonin brat;Kreontov sin i Antigonin zaručnik;Vojskovođa;c;1.0
Antigona;Kviz: Antigona;Šta Hajmon kaže Kreontu o narodu Tebe?;Da narod podržava Kreonta;Da narod potajno veliča Antigonin čin;Da narod ne mari za Antigonu;Da narod želi njenu smrt;b;1.0
Antigona;Kviz: Antigona;Ko je Teiresija i šta on govori Kreontu?;Vojskovođa koji donosi vijesti;Slijepi prorok koji upozorava Kreonta da je pogriješio;Poslanik bogova;Antigonin saveznnik;b;1.0
Antigona;Kviz: Antigona;Kakva je kazna Kreont izrekao za Antigonu?;Progon iz Tebe;Živu je zakopati u podzemnu špilja;Javno pogubiti;Baciti je u more;b;1.0
Antigona;Kviz: Antigona;Šta se dogodi s Antiginom na kraju drame?;Pobjegne;Objesije se u podzemnoj špilji;Kreont je oslobodi;Hajmon je spasi;b;1.0
Antigona;Kviz: Antigona;Šta se dogodi s Hajmonom?;Ubije se nad Antigoninim tijelom;Uda se za drugu;Napusti Tebu;Ubije Kreonta;a;1.0
Antigona;Kviz: Antigona;Šta se dogodi s Kreontovom suprugom Euridicom?;Preživi sve;Napusti Kreonta;Umre od bolesti;Ubije se zbog gubitka sina;d;1.0
Antigona;Kviz: Antigona;Šta Kreont zaključi na kraju tragedije?;Da je bio u pravu;Da je Antigona bila kriva;Da su bogovi nepravedni;Da je svojom tvrdoglavošću uništio sve koji su mu bili dragi;d;1.0
Antigona;Kviz: Antigona;Koji grčki bog je posebno uvrijeđen Kreontovim postupkom?;Dioniz;Apolon;Zevs;Had;a;1.0
Antigona;Kviz: Antigona;Šta hora (zbor) predstavlja u Antigoni?;Suprotni tabor od Kreonta;Glasnike bogova;Antigonine saveznike;Glas razboritosti i naroda, koji komentira radnju;d;1.0
Antigona;Kviz: Antigona;Šta je 'hybris' koji Kreont pokazuje?;Pohlepa;Ignorancija;Strah;Oholost i pretjerana vjera u vlastitu vlast koja izaziva odmazdu bogova;d;1.0
Antigona;Kviz: Antigona;Zašto je Antigona tragična junakinja?;Jer brani božanski zakon ljubavi i porodice čak po cijenu vlastite smrti;Jer ne poznaje zakone;Jer mrzi Kreonta;Jer je naivna;a;1.0
Antigona;Kviz: Antigona;Šta znači Antigonino ime na grčkom?;Ona koja govori;Slobodna žena;Ona koja pjeva;Ona koja se suprotstavlja (roda);d;1.0
Antigona;Kviz: Antigona;Šta je temeljni sukob u drami?;Sukob između siromašnih i bogatih;Sukob između naroda i vojske;Sukob između individualne savjesti i državnog zakona;Sukob između sinova Edipovih;c;1.0
Antigona;Kviz: Antigona;U kojoj je Antigona srodna s prethodnim Sofoklovim tragedijama?;U motivu edipovskog prokletstva koje se prenosi na djecu;U tome što nema srodnosti;U motivu rata;U motivu ljubomore;a;1.0
Antigona;Kviz: Antigona;Šta kaže hora na kraju Antigone u zaključnoj mudrosti?;Bogovi su pravedni uvijek;Vlast je uvijek u pravu;Mudrost dolazi kroz patnju, i čovjek treba štovati bogove;Žene moraju slušati muškarce;c;1.0
Antigona;Kviz: Antigona;Kako Antigona opravdava svoju odluku pred Kreontom?;Kaže da je slijedila vječne nepisane zakone bogova;Kaže da je to učinila iz mržnje prema njemu;Kaže da je to učinila slučajno;Kaže da je luda;a;1.0
Antigona;Kviz: Antigona;Šta je stav Ismene na kraju drame kad Antigona biva osuđena?;Ushičeno pozdravlja Kreontovu presudu;Pobjegne iz Tebe;Želi podijeliti sudbinu s Antigonom;Uda se za Hajmona;c;1.0
Antigona;Kviz: Antigona;Šta čuvar govori Kreontu o prvom Polinikovu ukopu?;Da ga je neko tajno posuto prašinom i simbolički pokopalo;Da ga je narod izvršio;Da ga je Ismena pokopala;Da se to samo desilo;a;1.0
