bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Zločin i kazna;Kviz: Zločin i kazna;Kako se zove glavni lik romana Zločin i kazna?;Fjodor Karamazov;Rodion Raskolnikov;Sonja Marmeladova;Porfirije;b;1.0
Zločin i kazna;Kviz: Zločin i kazna;Koga Raskolnikov ubije i zašto?;Prijatelja koji ga je uvrijedio;Policajca;Staricu Aljonu Ivanovu – lihvarku – vjerujući da je on iznad zakona;Svog oca;c;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko je slučajna žrtva uz lihvarku?;Susjedica;Sonja;Raskolnikova majka;Elizaveta – lihvarkina polusestra koja neočekivano dođe;d;1.0
Zločin i kazna;Kviz: Zločin i kazna;Koja je Raskolnikova teorija koja opravdava ubojstvo?;Teorija revolucije;Teorija o izvanrednim ljudima koji smiju prekršiti zakone radi viših ciljeva;Teorija o preživljavanju najjačih;Teorija o uništenju bogatih;b;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko je Sonja Marmeladova?;Raskolnikova sestra;Siromašna djevojka koja se prostituira da bi prehranila porodicu;Raskolnikova majka;Porfirieva tajnica;b;1.0
Zločin i kazna;Kviz: Zločin i kazna;Koji je Sonjinim lik simbol u romanu?;Pohlepe;Slabosti;Žرتvene ljubavi i spasa;Moralne osude;c;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko je Porfirije Petrovič?;Istražni sudac koji psihološki sužava Raskolnikova;Raskolnikov profesor;Raskolnikov brat;Svjedok ubojstva;a;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta je Raskolnikova psihičko stanje nakon ubojstva?;Mučna krivnja, groznica i paranoja;Smirenost;Ushićenost;Ravnodušnost;a;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko je Svidrigajlov i šta on simbolizira?;Raskolnikov otac;Sonjin otac;Porfirijev pomoćnik;Moralno raspali bogataš koji simbolizira krajnost bez savjesti;d;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko je Razumihim?;Raskolnikov otac;Lihvarkina sestra;Policajac;Raskolnikov prijatelj koji mu pomógne;d;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta Sonja čita Raskolnikovu iz Biblije?;Psalme;Propovijed na gori;Lazar iz mrtvih – što simbolizira duhovnu obnovu;Apokalipsu;c;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta Raskolnikov napravi na kraju romana?;Prijavi se vlastima i preuzme odgovornost;Pobjegne u inozemstvo;Ubije i Porfirija;Umre;a;1.0
Zločin i kazna;Kviz: Zločin i kazna;Koja je Raskolnikova kazna?;Smrtna;Novčana;Osam godina katorge u Sibiru;Progon;c;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko prati Raskolnikova u Sibir?;Njegova majka;Sonja;Razumihin;Njegova sestra;b;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta je epilog romana?;Raskolnikova smrt;Sonjina smrt;Raskolnikovo bijega;Raskolnikova duhovna obnova i ljubav prema Sonji;d;1.0
Zločin i kazna;Kviz: Zločin i kazna;Ko je Marmeladov?;Sonjinog pijani otac koji umre;Sonjin brat;Raskolnikov stric;Lekar;a;1.0
Zločin i kazna;Kviz: Zločin i kazna;Koji je grad u centru radnje?;Petersburg;Moskva;Odesa;Sibir;a;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta Raskolnikov misli o Napoleonu u svom teorijama?;Napoleon je primjer izvanredne osobe koja prekorači moral radi visokih ciljeva;Prezire ga;Napoleon je bio zlikovac;Napoleon ga inspirira na dobrota;a;1.0
Zločin i kazna;Kviz: Zločin i kazna;Kako se Raskolnikov odnosi prema porodici?;Ravnodušno;Prezrivo;S ljubavlju ali i grizodušjem – majka i sestra ga vole;Iskorištava ih za novac;c;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta Svidrigajlov učini na kraju romana?;Pobjegne;Ubije se;Prijavi Raskolnikova;Ode u inozemstvo;b;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta Raskolnikov nađe ispod kamena na raskrsnici?;Novac;Lihvarkin novac i nakit – ali ne može ga iskoristiti;Lihvarkino pismo;Oružje;b;1.0
Zločin i kazna;Kviz: Zločin i kazna;Šta je smisao naslova 'Zločin i kazna'?;Ubojstvo i suđenje;Griješenje i oprost;Kriminal i zakon;Unutarnja kazna savjesti dolazi i prije i uz vanjsku pravnu kaznu;d;1.0
