bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Starac i more;Kviz: Starac i more;Kako se zove stari ribar u romanu?;Pedro;Manuel;Santiago;Carlos;c;1
Starac i more;Kviz: Starac i more;Koliko dana Santiago ide bez ulova na početku priče?;Osamdeset i četiri dana;Dvadeset dana;Četrdeset dana;Pedeset dana;a;1
Starac i more;Kviz: Starac i more;Kako se zove dječak koji pomaže Santiagu?;Manolin;Jesus;Felipe;Carlos;a;1
Starac i more;Kviz: Starac i more;Zašto Manolin više ne smije ići s Dantijagom u ribolov?;Njegovi roditelji su ga premjestili na drugu barku jer smatraju da je Santiago nesretan;Jer Santiago to sam traži;Jer Manolin više ne voli ribolov;Jer se Manolin razbolio;a;1
Starac i more;Kviz: Starac i more;Koja riba Santiago hvata na otvorenom moru?;Morski pas;Sabljan;Džinovska jedrilica – marlin;Tuna;c;1
Starac i more;Kviz: Starac i more;Koliko dana Santiago vodi borbu s marlinom na otvorenom moru?;Dva dana;Tjedan dana;Jedan dan;Tri dana i tri noći;d;1
Starac i more;Kviz: Starac i more;Što Santiago misli i osjeća prema marlinu tokom borbe?;Strah i nesigurnost;Mržnju i žudnju za pobjedom;Ravnodušnost;Divljenje i poštovanje – vidi ga kao brata, ne neprijatelja;d;1
Starac i more;Kviz: Starac i more;Na koji način Santiago konačno savladava marlina?;Čeka da marlin uspe na brod;Marlin se sam zapliće u mreže;Harpunom ga probada nakon iscrpljujuće borbe;Marlin ugine od iscrpljenosti;c;1
Starac i more;Kviz: Starac i more;Što se događa s marlinom na putu nazad prema obali?;Santiago ga uspješno dovuče cijelog;Drugi ribari pomognu Santiagu;Morski psi ga napadaju i pojedu, pa Santiago stigne samo s kosturom;Marlin ponovo otpliva;c;1
Starac i more;Kviz: Starac i more;Kako Santiago reaguje na napad morskih pasa?;Sklopi se na dno barke;Zove pomoć;Odustaje i pušta marlina;Bori se svim što ima – harpunom, veslom, nožem – do kraja;d;1
Starac i more;Kviz: Starac i more;Što symbolizira marlin u romanu?;Prirodu koja čovjeka uvijek pobjeđuje;Smrt i opasnost;Ideal, dostignuće i sve ono za čim se isplati težiti;Bogatstvo i materijalni uspjeh;c;1
