bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Hamlet;Kviz: Hamlet;Ko je duh koji se pojavi Hamletu na početku drame?;Duh njegovog oca, kralja Hamleta;Duh njegovog djeda;Duh Ofelije;Duh Polonijev;a;1.0
Hamlet;Kviz: Hamlet;Što duh govori Hamletu o svojoj smrti?;Da se utopio;Da ga je ubio Klaudije, Hamletov stric;Da ga je ubio Polonije;Da je umro od bolesti;b;1.0
Hamlet;Kviz: Hamlet;Ko se oženio Hamletovom majkom Gertrudom nakon očeve smrti?;Polonije;Horacijo;Laert;Klaudije;d;1.0
Hamlet;Kviz: Hamlet;Koji Hamletov monolog počinje riječima 'Biti ili ne biti'?;Monolog o ljubavi;Monolog o odmazdi;Monolog o predaji;Monolog o životu i smrti;d;1.0
Hamlet;Kviz: Hamlet;Kako se zove Hamletova ljubavnica?;Ofelija;Gertruda;Rozenkranc;Rozalinda;a;1.0
Hamlet;Kviz: Hamlet;Ko je otac Ofelije i Laerta?;Klaudije;Horacije;Polonije;Fortinbras;c;1.0
Hamlet;Kviz: Hamlet;Kako Hamlet dokazuje Klaudijevu krivnju?;Organizira kazališnu predstavu koja oponaša očevo ubojstvo;Suočava ga direktno;Nađe pismo s dokazima;Pita svjedoke;a;1.0
Hamlet;Kviz: Hamlet;Kako Polonije umire?;Ubije ga Klaudije;Hamlet ga probode mačem kroz zastor;Ubije ga Laert;Otruje se;b;1.0
Hamlet;Kviz: Hamlet;Šta se dogodi s Ofelijom nakon očeve smrti?;Pobjegne iz Danske;Poludi i utopi se;Uda se za Laerta;Postane redovnica;b;1.0
Hamlet;Kviz: Hamlet;Kamo Klaudije šalje Hamleta s tajnom naredbom da ga ubiju?;U Francusku;U Norvezu;U Poljsku;U Englesku;d;1.0
Hamlet;Kviz: Hamlet;Ko su Rozenkranc i Gildenstern?;Hamletovi ujaci;Vojnici koji čuvaju dvorac;Stari Hamletovi prijatelji koje Klaudije iskoristi kao uhode;Dvorski šaljivdžije;c;1.0
Hamlet;Kviz: Hamlet;Kako Hamlet izmijeni pismo koje nosi do Engleske?;Dodaje pismo s molbom za mir;Mijenja nalog za svoju smrt u nalog za smrt Rozenkranca i Gildenšterna;Uništi pismo;Pošalje prazno pismo;b;1.0
Hamlet;Kviz: Hamlet;Zašto se Laert želi osvetiti Hamletu?;Jer mu je Hamlet ukrao nasljedstvo;Jer mu je Hamlet ukrao Ofeliju;Jer ga je Hamlet uvrijedio na dvoru;Jer je Hamlet ubio njegovog oca i uzrokovao sestrin pad;d;1.0
Hamlet;Kviz: Hamlet;Kako završava dvoboj između Hamleta i Laerta?;Obojica budu smrtno ranjena otrovnim mačem;Hamlet pobijedi i postane kralj;Laert pobijedi;Klaudije ih razdvoji;a;1.0
Hamlet;Kviz: Hamlet;Kako Gertruda umire?;Popije otrovano vino namijenjeno Hamletu;Probode je Laert;Umire od tuge;Ubije je Klaudije;a;1.0
Hamlet;Kviz: Hamlet;Ko preuzima vlast u Danskoj na kraju drame?;Horacijo;Fortinbras;Hamlet;Laert;b;1.0
Hamlet;Kviz: Hamlet;Šta Hamlet traži od Horacija na kraju?;Da mu osveti smrt;Da ga sahranje kao kralja;Da pobjegne iz Danske;Da ispriča istinu o svemu što se dogodilo;d;1.0
Hamlet;Kviz: Hamlet;Koja je Hamletova osnovna mana koja ga sprječava da djeluje?;Kukavičluk;Zaljubljenost u Ofeliju;Pohlepa;Pretjerano filozofiranje i neodlučnost;d;1.0
Hamlet;Kviz: Hamlet;Šta simbolizira Jorikova lubanja u drami?;Prolaznost života i neizbježnost smrti;Ljubav i gubitak;Zlo i prijevaru;Klaudijevu krivnju;a;1.0
Hamlet;Kviz: Hamlet;Gdje Hamlet sretne grobare koji kopaju Ofelijin grob?;U dvorcu;Na groblju;U šumi;U crkvi;b;1.0
Hamlet;Kviz: Hamlet;Kako Klaudije ubija starog kralja Hamleta?;Mačem;Strelicom s otrovom;Ulijevanjem otrova u uho;Davljenjem;c;1.0
Hamlet;Kviz: Hamlet;Što Hamlet govori Ofeliji u poznatoj sceni 'Idi u samostan'?;Da je voli;Da je oda njemu;Da ode u samostan i da ne vjeruje muškarcima;Da mu pomogne u osveti;c;1.0
Hamlet;Kviz: Hamlet;Ko je jedini koji preživi dramu od glavnih likova?;Horacijo;Fortinbras;Klaudije;Gertruda;a;1.0
Hamlet;Kviz: Hamlet;Šta govori poznata Hamletova rečenica 'Nešto je trulo u državi Danskoj'?;Da je hrana loša;Da su straže nesposobne;Da u kraljevstvu vlada moralna i politička pokvarenost;Da je dvorac star i ruševan;c;1.0
Hamlet;Kviz: Hamlet;Kakav je odnos između Hamleta i Klaudija na početku drame?;Prijateljski;Otvoreno neprijateljski;Klaudije glumi dobronamjernog strica, a Hamlet je sumnjičav;Ravnodušan;c;1.0
