bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;U kom obliku je napisan roman Patnje mladog Werthera?;Kao autobiografija;Kao drama;Kao historijski roman;Kao roman u pismima (epistolarni roman);d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;U koga se Werther zaljubi?;U Charlotte von Stein;U sestru svog prijatelja;U Maximiliane Brentano;U Lotte, zaručenu za drugog;d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kako se zove Lottin zaručnik, a kasnije muž?;Albert;Karl;Wilhelm;Robert;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta Werther radi za život?;Vojnik je;Mladi je pravnik koji odbija karijeru zbog svog osjetljivog duha;Slikar je;Svećenik je;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kome Werther piše pisma?;Lotti;Albertu;Svom ocu;Svom prijatelju Wilhelmu;d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta Werther doživljava u diplomtaskoj službi?;Uspjeh i napredak;Mir i zadovoljstvo;Uzbuđenje i avanture;Poniženje od strane aristokracije koja ga ismijava zbog neplemenitog porijekla;d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Zašto Werther ne može biti s Lottom?;Jer je siromašan;Jer je Lotte vjerna zaručnica i supruga Albertu;Jer ga Lotte ne voli;Jer je bolestan;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta Werther radi u finalu romana?;Pobjegne u drugu zemlju;Pozove Lotte da pobjegne s njim;Oženi drugu ženu;Ubije se Albertovim pištoljem;d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koja je Lottina reakcija na Wertherov oproštajni posjet?;Pristaje da ode s njim;Hladna je i odbija ga, ali i sama je potrešena;Ignorira ga;Zove Alberta;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta je 'Wertherizam' kao kulturni fenomen?;Moda oblačenja po Wertherovu modelu;Val samoubojstava mladih u Europi po uzoru na roman;Romantičarska filozofija;Glazbeni pravac;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kakav je Wertherov odnos prema prirodi?;Ravnodušan;Vidi je kao prepreku;Priroda mu je ogledalo unutarnjeg stanja – ljepota ga uzdiže, mrak odražava patnju;Boji se prirode;c;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koja knjiga je Wertherov stalni suputnik i simbol njegovih osjećaja?;Biblija;Shakespearov Hamlet;Homerova Ilijada i Odiseja, a potom Ossian;Kantova Kritika čistoga uma;c;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koji je književni pokret utjelovjuje Werther?;Klasicizam;Simbolizam;Naturalizam;Sturm und Drang (Oluja i naljet);d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kako Werther gleda na seljake i jednostavne ljude?;S divljenjem jer su prirodni i neiskvareni;Prezirno;Ravnodušno;S dozom sažaljenja;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koji je Wertherov stav prema aristokratiji?;Prezire je kao uštogljenu i neosjetljivu;Želi se pridružiti aristokraciji;Poštuje je;Ignorira je;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta simbolizira ples na balu gdje Werther upoznaje Lotte?;Zabavu i lakoću;Aristokratsku raskoš;Trenutak savršenog sklada koji se nikad više neće ponoviti;Početak ljubomore;c;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koji su proročanski znaci Wertherovog propast u prvom dijelu romana?;Nema ih;Opsjednutost smrću, rastuća melankolija, osjećaj zarobljenosti;Porazi u kartama;Bolest;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta Werther traži od Alberta neposredno prije samoubojstva?;Njegove pištolje pod izlikom putovanja;Novac;Dopuštenje da se vidi s Lottom;Savjet;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kako Lotte reagira na vijest o Wertherovu samoubojstvu?;Ostaje hladna;Plače kratko pa se oporavi;Duboko je potrešena i boluje;Bježi iz kuće;c;1.0
