"bookTitle";"quizTitle";"questionText";"optionA";"optionB";"optionC";"optionD";"correctAnswer";"points"
"Ime ruže";"Kviz: Ime ruže";"Ko je glavni lik i narator romana 'Ime ruže'?";"Ubaldo iz Monteferata";"Adso od Melka, mladi benediktinski novak";"Vilim od Baskervillea";"Jorge od Burgosa";"b";"1"
"Ime ruže";"Kviz: Ime ruže";"Ko je Adsoov mentor i detektiv u romanu?";"Adso sam";"Vilim od Baskervillea, franjevački fratar i bivši inkvizitor";"Opat Abo";"Jorge od Burgosa";"b";"1"
"Ime ruže";"Kviz: Ime ruže";"Gdje se odvija radnja romana?";"U Parizu, u dominikanskom samostanu";"U Rimu, u Vatikanu";"U Carigradu";"U izoliranom benediktinskom samostanu u sjevernoj Italiji";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"U kojim se danima odvija radnja?";"U trideset dana";"Tokom cijele jedne godine";"U sedam dana – od dolaska do kraja istrage i požara";"U jednom danu";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Koji je tajanstveni objekt u centru misterije?";"Mapa samostanskog labirinta";"Zlatni kodeks";"Sveta relikvija";"Izgubljena knjiga – drugi dio Aristotelove Poetike o komediji";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"Ko je Jorge od Burgosa i kakvu ulogu igra?";"Žrtva ubojstava";"Slijepi stariji fratar koji skriva i čuva zabranjenu knjigu";"Vilimov asistent";"Opat samostana";"b";"1"
"Ime ruže";"Kviz: Ime ruže";"Zašto je knjiga o komediji u romanu opasna po Jorgeovom mišljenju?";"Jer opisuje tajne rituale";"Jer sadrži heretičke ideje";"Jer smijeh opravdava – a to bi potkopalo strah od Boga kao temelj vjere";"Jer je pisana na zabranjenom jeziku";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Kako ubijeni fratri ginu u romanu?";"Padom s visine";"Trovanjem – knjiga je namazana otrovom, a ko pokuša listati prst liže i umire";"Ugušavanjem";"Utapanjem";"b";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta je 'Finis Africae' u romanu?";"Ime poglavlja knjige";"Naziv samostana";"Nadimak Vilimov";"Skriveni, zaključani dio biblioteke u koji je gotovo nemoguće ući";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"U kojim istorijskim okolnostima se odvija radnja?";"Srednji vijek, 1327. – vjerske rasprave između franjevaca o siromaštvu i papske moći";"Renesansa, 16. vijek";"Kasna antika, 5. vijek";"Rana moderna, 17. vijek";"a";"1"
"Ime ruže";"Kviz: Ime ruže";"Ko je Salvatore u romanu?";"Adsoov učitelj latinskog";"Opat koji prethodi Abi";"Novak koji dolazi s Vilimom";"Čudni fratar deformiranog izgleda koji govori jezičnim mješavinom, umiješan u hereziju";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"Kakav je Viliim od Baskervillea kao detektiv?";"Racionalan, empirijski, slichan Sherlocku Holmesu po metodi zaključivanja";"Oslonjen na mučenje i ispovijedi";"Impulsivan i emotivan";"Mistično nastrojen i oslonjen na vjeru";"a";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta Vilim na kraju shvata o svojoj istrazi?";"Da je Jorge nevini";"Da je pronašao rješenje, ali da je počinilac Jorge koristio kaos koji je Vilim nehotice producirao";"Da ubojica uopće nije u samostanu";"Da knjiga zapravo ne postoji";"b";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta se dogodi sa samostanom na kraju romana?";"Gori i nestaje u velikom požaru koji uništava biblioteku";"Ostaje netaknut";"Postaje sjedište inkvizicije";"Biva zatvoren od Crkve";"a";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta je labirint u romanu?";"Samostanska kuhinja";"Podzemni hodnici";"Biblioteka – fizički i simbolički labirint znanja koji je opasan i zatvoren za obične smrtnike";"Vrt samostana";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Ko je inkvizitor Bernardo Gui?";"Ubojica u romanu";"Opat koji poziva Vilima";"Vilimov neprijatelj iz mladosti";"Opasni inkvizitor koji dolazi da ispituje herezu, lik zasnovan na historijskoj osobi";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta Adso vidi u romanu kao odrasli čovjek koji piše?";"Istragusamo iz Vilimove perspektive";"Događaje kao neposredni sudionik u sadašnjosti";"Jedinu epizodu svog života";"Iskustvo kao daleka sjećanja – piše na kraju života, kao zreli čovjek koji razmišlja o smislu";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta je 'semiotika' i kako je prisutna u romanu?";"Način pisanja manuskripata";"Naziv skripte o hereziji";"Vilimovo tumačenje znakova – cijev, trag, simbol – kao metoda istraživanja istine";"Teološka rasprava u romanu";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta Adso doživljava s djevojkom u romanu?";"Jedinu ljubavnu epizodu svog života – noćno sretan susret koji ostaje bez razrješenja i bez njenog imena";"Duhovnu vezu bez fizičke dimenzije";"Dugo prijateljstvo";"Razgovor o teologiji";"a";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta je motiv 'ruže' u naslovu?";"Simbol papske moći";"Konkretna ruža koja igra ulogu u istrazi";"Enigmatičan – autor ga namjerno ostavlja otvorenim; 'ruža' je ime bez suštine, simbol bez konkretnog referenta";"Ljubav između Adsa i djevojke";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta su franjevački fratri raspravljali s papskim izaslanicima u romanu?";"Je li zemlja okrugla";"Smije li se smiješiti u crkvi";"Je li Krist posjedovao imovinu – pitanje siromaštva kao teološki i politički problem";"Ko je legitimni papa";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Kako Jorge na kraju umire?";"Guta stranice otrovne knjige i sam sebi uzrokuje smrt u požaru";"Vilim ga ubija";"Uhapšen je i pogubljen";"Nestaje u labirintu";"a";"1"
"Ime ruže";"Kviz: Ime ruže";"Koji književni žanr 'Ime ruže' spaja?";"Ljubavni roman i avanturizam";"Naučnu fantastiku i gotički roman";"Istorijski roman, detektivski roman i filozofski esej";"Politički triller i biografiju";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta Vilim kaže na kraju o svojoj teoriji ubojice?";"Da je bio u pravu od samog početka";"Da Jorge nije bio jedini ubojica";"Da je slučajno bio u pravu iz pogrešnih razloga – istina mu je izmakla";"Da nikad nije shvatio ko je ubojica";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta Adso pronalazi godinama nakon požara?";"Drugu kopiju Aristotelove knjige";"Fragmentarne stranice spaljenih knjiga – ostatke uništene biblioteke";"Jorgeov dnevnik";"Vilimov rukopis o istrazi";"b";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta roman govori o znanju i zabrani?";"Da znanje samo po sebi nije opasno";"Da neka znanja treba zaista zabraniti";"Da je Crkva uvijek bila neprijatelj znanja";"Da zabrana znanja iz straha od njega je najopasnija – jer čuva ignoranciju a ubija one koji traže istinu";"d";"1"
"Ime ruže";"Kviz: Ime ruže";"U kojoj godini je objavljen roman 'Ime ruže'?";"1965.";"1970.";"1980.";"1990.";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Šta je postmodernistički element u romanu?";"Direktna politička poruka";"Linearnost i jednoznačnost";"Svjesna igra s književnim konvencijama, žanrovima i intertekstualnošću";"Odsutnost simbolike";"c";"1"
"Ime ruže";"Kviz: Ime ruže";"Zašto je 'Ime ruže' jedno od najvažnijih romana 20. vijeka?";"Jer je jedini roman o Srednjem vijeku";"Jer je Eco bio Nobelov laureat";"Jer je preveden na više od 10 jezika";"Jer genijalno spaja erudiciju, misterij, filozofiju i historiju u djelo koje je i popularno i intelektualno zahtjevno";"d";"1"
