bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Madam Bovari;Kviz: Madam Bovari;Čime je Ema Bovari opsjednuta od djetinjstva?;Romantičnim i luksuznim životom kakav je čitala u romanima;Putovanjima;Muzikom;Religijom;a;1.0
Madam Bovari;Kviz: Madam Bovari;Ko je Ema Bovarijeva muž?;Charles Bovari, liječnik;Rodolphe;Leon;Monsieur Homais;a;1.0
Madam Bovari;Kviz: Madam Bovari;Šta Ema osjeća prema mužu Charlesu?;Duboku ljubav;Dosadu, prezir i nezadovoljstvo;Zahvalnost;Simpatiju;b;1.0
Madam Bovari;Kviz: Madam Bovari;Ko je Ema prva ljubavnik?;Leon;Notarski pisar;Rodolphe Boulanger;Monsieur Lieuvain;c;1.0
Madam Bovari;Kviz: Madam Bovari;Zašto Rodolphe ostavi Emu?;Jer je umori;Jer sazna za Leona;Jer se zaljubi u drugu;Jer se boji ugrožavanja vlastite slobode;d;1.0
Madam Bovari;Kviz: Madam Bovari;Ko je Leon?;Eman otac;Mladi pisar s kojim se Ema drugi put zaplete;Charlesov prijatelj;Apotekar;b;1.0
Madam Bovari;Kviz: Madam Bovari;Šta Ema čini da bi imala novac za raskoš?;Radi;Traži od muža;Tajno uzima dugove od lihvara Lhureux-a potpisujući mjenice;Krade;c;1.0
Madam Bovari;Kviz: Madam Bovari;Ko je Monsieur Homais?;Samozadovoljni, lažno naučni apotekar;Charlesov brat;Gradonačelnik;Eman otac;a;1.0
Madam Bovari;Kviz: Madam Bovari;Šta se dogodi kad Charles pokuša operirati Hippolytea?;Operacija uspije;Nije rekao emu;Hippolyte umre;Operacija završi amputacijom jer Charles nije sposoban;d;1.0
Madam Bovari;Kviz: Madam Bovari;Kako Ema umire?;Ubije je ljubavnik;Otrovanjem – proguta arsen;Bježi i gine u nesreći;Umire od bolesti;b;1.0
Madam Bovari;Kviz: Madam Bovari;Šta se dogodi s Charlesom nakon Eme smrt?;Nađe novu ženu;Sazna za preljube i umre od tuge;Postaje bogat;Optužuju ga za ubojstvo;b;1.0
Madam Bovari;Kviz: Madam Bovari;Šta je lihvar Lheureux i kakvu ulogu igra?;Prijatan trgovac;Pohlepni kreditni manipulator koji namjerno zavuče Emu u dugove;Bankir koji pokušava pomoći;Načelnik sela;b;1.0
Madam Bovari;Kviz: Madam Bovari;Koje su Emine romantičarske iluzije?;Da će postati svećenica;Da negdje postoji idealna ljubav i raskošan život kakav su opisivali romani;Da će otkriti lijek;Da će biti bogata;b;1.0
Madam Bovari;Kviz: Madam Bovari;U kom gradu žive Bovariji tokom najvećeg dijela romana?;Rouenu;Tostes-u;Parizu;Yonvilleu;d;1.0
Madam Bovari;Kviz: Madam Bovari;Šta se dogodi s Eminom kćerkom Bertom na kraju?;Udomljenoj je Charlesovoj majki;Ide u samostan;Postane radnica u fabrici;Umre s majkom;c;1.0
Madam Bovari;Kviz: Madam Bovari;Kome Ema na samrti kaže da je voljela samo njega?;Leonu;Rodolpheu;Bogu;Charlesu;d;1.0
Madam Bovari;Kviz: Madam Bovari;Šta je Flauberova tehnika 'slobodnog neupravnog govora'?;Direktno citiranje likova;Ironičan autorski komentar;Prenošenje misli i osjećaja lika bez jasnih navodnih znakova, stapajući pripovjedača i lik;Opis prirode;c;1.0
Madam Bovari;Kviz: Madam Bovari;Šta kritizira Flaubert kroz lik Homais-a?;Seosku ljekarnićku tradiciju;Politiku;Religiju;Lažnu naučnost i samozaljubljen buržoaski napredak;d;1.0
Madam Bovari;Kviz: Madam Bovari;Šta je 'bovarizam' kao kulturni pojam?;Vrsta bolesti;Stil romanisanja;Tendencija da čovjek živi u iluziji idealiziranog vlastita lika i života;Vrsta romantizma;c;1.0
Madam Bovari;Kviz: Madam Bovari;Na koji način Flaubert opisuje provincijsku Normandiju?;S ljubavlju;Neutralno;Kao ugušujuće, dosadno okruženje koje izaziva Eminu frustraciju;S nostalgijom;c;1.0
Madam Bovari;Kviz: Madam Bovari;Koja je osnovna razlika između Eme i njezinog muža Charlesa?;Ema teži iluzijama, a Charles je zadovoljan skromnom stvarnošću;Charles je pametniji;Charles ima ambicije;Nema razlike;a;1.0
Madam Bovari;Kviz: Madam Bovari;Šta Rodolphe napiše Emi kad je napušta?;Hladno i formalmo pismo o nužnosti raskida;Strast i bol;Obećanje da će se vratiti;Ne piše ništa;a;1.0
Madam Bovari;Kviz: Madam Bovari;Šta je Flaubert htio postići stilom i jezikom u Madam Bovari?;Brzu zabavu čitatelja;Savršenu prozu, stilski preciznu i hladnokrvno objektivnu;Sentimentalnu priču;Moralnu pouku;b;1.0
Madam Bovari;Kviz: Madam Bovari;Koji je suđen Flauberu zbog Madam Bovari i zašto?;Za povredu morala i javnog reda – oslobođen je;Za dug;Za klevetu;Nije mu suđeno;a;1.0
Madam Bovari;Kviz: Madam Bovari;Šta je Emina tragična pogreška?;Što nije razlikovala između literarne iluzije i stvarnog života;Što je uzela otrova;Što je voljela muža;Što je imala kćerku;a;1.0
Madam Bovari;Kviz: Madam Bovari;Kakva je Emina smrt opisana?;Poetično i uljepšano;Mirno i tiho;Brutalno realistično – grčevi, crnjenje, trovanje;Naglo;c;1.0
Madam Bovari;Kviz: Madam Bovari;Ko je jedini koji profitira od Eme tragedije?;Charles;Curč;Lheureux;Homais koji dobiva orden Legije časti zahvaljujući svom ugledu;d;1.0
