"bookTitle";"quizTitle";"questionText";"optionA";"optionB";"optionC";"optionD";"correctAnswer";"points"
"Stranac";"Kviz: Stranac";"Kojom rečenicom počinje roman 'Stranac'?";"'Svako jutro je isto, svako jutro je novo.'";"'Danas je umrla mama. Ili možda jučer, ne znam.'";"'Bio je jednom jedan čovjek koji nije ništa osjećao.'";"'Sunce je gorjelo kao da hoće ubiti.'";"b";"1"
"Stranac";"Kviz: Stranac";"Kako se zove glavni junak romana?";"Albert";"Meursault";"Camus";"Raymond";"b";"1"
"Stranac";"Kviz: Stranac";"Gdje radi Meursault?";"U lučkom skladištu";"U školi kao učitelj";"U bolnici";"U uredu u Alžiru";"d";"1"
"Stranac";"Kviz: Stranac";"Koga Meursault ubija?";"Svog susjeda Raymonda";"Policajca";"Arapina na plaži";"Svog šefa";"c";"1"
"Stranac";"Kviz: Stranac";"Što Meursault objašnjava kao razlog ubojstva?";"Samoobrana";"Slijedio je Raymondov nalog";"Mržnja prema žrtvi";"Sunce ga je zasljepilo i iritirano";"d";"1"
"Stranac";"Kviz: Stranac";"Kako Meursault reaguje na majčinu smrt na samom početku romana?";"Bez vidljive emocije – čak ne zna tačan datum njene smrti";"S olakšanjem jer su bili u lošim odnosima";"S praktičnom brigom oko sahrane";"S dubokim bolom i plakanjem";"a";"1"
"Stranac";"Kviz: Stranac";"Ko je Marie u romanu?";"Svjedokinja ubojstva";"Meursaultova majka";"Sutkinja na suđenju";"Meursaultova ljubavna partnerica";"d";"1"
"Stranac";"Kviz: Stranac";"Ko je Raymond Sintès?";"Meursaultov kolega na poslu";"Meursaultov advokat";"Žrtvin brat";"Meursaultov susjed, sumnjivog morala, koji uvlači Meursaulta u sukob";"d";"1"
"Stranac";"Kviz: Stranac";"Što sud Meursaultu zapravo sudi osim za ubojstvo?";"Organizaciji kriminalne grupe";"Premediriranom ubojstvu s motivom krađe";"Emocionalnoj hladnoći i nedostatku tuge na majčinoj sahrani";"Uvredama na račun suda";"c";"1"
"Stranac";"Kviz: Stranac";"Što simbolizira sunce i vrućina u romanu?";"Apsurdnu silu koja potiče iracionalnu akciju";"Alžirsku ljepotu";"Meursaultovu unutarnju vatru";"Boži gnjev";"a";"1"
"Stranac";"Kviz: Stranac";"Kojoj filozofskoj struji pripada 'Stranac'?";"Nihilizmu";"Romantizmu";"Apsurdizmu i egzistencijalizmu";"Marksizmu";"c";"1"
"Stranac";"Kviz: Stranac";"Što Meursault shvata pred smrt?";"Da postoji Bog koji ga čeka";"Da treba tražiti oprost";"Da je bio u pravu cijelo vrijeme";"Da je život apsurdan i da treba prihvatiti tu apsurdnost";"d";"1"
"Stranac";"Kviz: Stranac";"Kako se Meursault odnosi prema ponudi svećenika da se ispovijedi?";"Odbacuje ga s bijesom – ne prihvaća ni vjersku ni društvenu konvenciju";"Prihvaća ga s radošću";"Ignorira ga šuteći";"Razgovara s njim prijateljski";"a";"1"
"Stranac";"Kviz: Stranac";"Što je 'stranac' u naslovu?";"Fizički stranac koji dolazi u Alžir";"Meursault koji je stranac u svom društvu jer ne dijeli njegove vrijednosti i emocije";"Arapin kojeg Meursault ubija";"Svaki čovjek koji putuje";"b";"Meursaultov unutarnji glas"
"Stranac";"Kviz: Stranac";"Na kraju suđenja, kakva je presuda?";"Oslobađajuća presuda";"Doživotni zatvor";"Smrtna kazna giljotinom";"Dvadeset godina zatvora";"c";"1"
"Stranac";"Kviz: Stranac";"U kojoj zemlji se odvija radnja?";"U Tunisu";"U Alžiru, tada francuskoj koloniji";"U Francuskoj";"U Maroku";"b";"1"
"Stranac";"Kviz: Stranac";"Kakav je Meursaultov stav prema životu?";"Ravnodušan i senzorijalni – živi trenutak bez projekcija i moralnih kalkulacija";"Ambiciozan i ciljno orijentiran";"Romantičan i sanjalački";"Religiozan i moralan";"a";"1"
"Stranac";"Kviz: Stranac";"Što Meursault ne čini na majčinoj sahrani čime šokira okolinu?";"Napušta sahranu rano";"Dolazi pijan";"Ne prisustvuje sahrani";"Ne plače i čak dimi cigarete i pije kavu";"d";"1"
"Stranac";"Kviz: Stranac";"Kako je roman strukturiran?";"Kao ispovijed u prvom licu bez strukture";"Tri dijela s epilogom";"Dva dijela – prvi prati ubojstvo, drugi suđenje";"Hronološki linearno bez podjele";"c";"1"
"Stranac";"Kviz: Stranac";"Što tužilaštvo koristi kao ključni dokaz Meursaultove opasnosti?";"Njegovo ponašanje na sahrani – nedostatak tuge";"Prijašnje kriminalne aktivnosti";"Njegovo prijateljstvo s Raymondom";"Pištolj koji je nosio";"a";"1"
"Stranac";"Kviz: Stranac";"Koliko metaka Meursault ispalje u arapina?";"Pet – jedan, a zatim još četiri";"Jedan jedini";"Tri";"Sedam";"a";"1"
"Stranac";"Kviz: Stranac";"Što Meursault odgovara kada ga Marie pita voli li je?";"'Ne znam, ali vjerovatno ne'";"'To nije važno'";"'Da, volim te'";"'Voljenje je besmislena kategorija'";"a";"1"
"Stranac";"Kviz: Stranac";"Kakvo je pisanje Camusa u ovom romanu?";"Romantično i bogato metaforama";"Hladno, kratko, rečenično suzdržano – odražava Meursaultovu distancu";"Kompleksno i filozofski gusto";"Humoristično i ironično";"b";"1"
