knjige_template
title,author,description,coverImage,content,ageGroup,genre,readingDifficulty,pageCount,pdfUrl,purchaseUrl,weeklyPick,publisher,publicationYear,publicationCity,isbn,cobissId,language,bookFormat
Hamlet,Viljem Šekspir,Tragedija o princu koji traži osvetu za očevu smrt. Istražuje sumnju i moralnu dilemu,,Hamlet saznaje da mu je stric ubio oca. Oklijeva između misli i djelovanja. Njegova neodlučnost vodi tragediji. Strada gotovo cijeli dvor. Djelo tematizira savjest i osvetu.,Omladina,Lektira,,,,,,,,,,,bosanski,
Tvrdica,Molijer,Komedija o škrtosti i opsesiji novcem. Ismijava porodične odnose zasnovane na interesu,,Harpagon skriva svoje zlato. Djeca žele brak iz ljubavi. Njegova pohlepa stvara komične situacije. Mladi uspijevaju ostvariti sreću. Škrtost biva razotkrivena.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ljetopis,Mula Mustafa Bašeskija,Hronika Sarajeva u osamnaestom vijeku. Bilježi društvene i političke događaje,,Autor zapisuje svakodnevni život grada. Opisuje epidemije i pobune. Spominje važne ličnosti. Tekst ima dokumentarnu vrijednost. Predstavlja značajan historijski izvor.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ilhamijin put u smrt,Rešad Kadić,Roman o pjesniku koji se suprotstavlja tiraniji. Tema je hrabrost i cijena istine,,Ilhamija kritikuje nepravdu vlasti. Dolazi u sukob sa moćnicima. Njegova sudbina postaje simbol otpora. Roman naglašava moralnu odgovornost. Završava tragično.,Omladina,Lektira,,,,,,,,,,,bosanski,
Kasida,Abdul Vehab Ilhamija,Pjesnički protest protiv zuluma i nepravde. Ističe moralnu snagu pojedinca,,Pjesma je upućena moćniku kao opomena. Kritikuje tiraniju. Stihovi su snažni i direktni. Nosilac je poruke hrabrosti. Autor snosi posljedice.,Omladina,Lektira,,,,,,,,,,,bosanski,
Patnje mladog Werthera,Johan Volfgang Gete,Epistolarni roman o neuzvraćenoj ljubavi. Istražuje sukob osjećaja i društva,,Werther se zaljubljuje u Lotte. Ona je obećana drugom. Njegova osjećajnost prerasta u očaj. Ne pronalazi izlaz. Roman završava samoubistvom.,Omladina,Lektira,,,,,,,,,,,bosanski,
Evgenije Onjegin,Aleksandar Sergejevič Puškin,Roman u stihu o suvišnom čovjeku. Prikazuje propuštenu ljubav i ironiju sudbine,,Onjegin odbija Tatjanu. Kasnije shvata grešku. Tatjana ostaje vjerna mužu. Lik simbolizira duhovnu prazninu. Djelo prikazuje rusko plemstvo.,Omladina,Lektira,,,,,,,,,,,bosanski,
Antigona,Sofoklo,Tragedija o sukobu zakona i savjesti. Antigona simbolizira moralnu dosljednost,,Antigona sahranjuje brata uprkos zabrani. Kreont je kažnjava. Sukob vodi tragediji. Likovi plaćaju cijenu tvrdoglavosti. Djelo propituje pravdu.,Omladina,Lektira,,,,,,,,,,,bosanski,
Aulularia,Plaut,Komedija o škrtom starcu i skrivenom blagu. Ismijava pohlepu i sumnjičavost,,Euklion pronalazi ćup zlata. Postaje opsjednut njegovom zaštitom. Nastaju komične situacije. Mladi ostvaruju ljubavni plan. Pohlepa biva ismijana.,Omladina,Lektira,,,,,,,,,,,bosanski,
Gilgameš,Asirsko babilonski ep,Ep o potrazi za besmrtnošću. Tema je prolaznost i prijateljstvo,,Gilgameš gubi Enkidua. Kreće u potragu za vječnim životom. Susreće mudrace. Shvata da je smrt neminovna. Vraća se mudriji.,Omladina,Lektira,,,,,,,,,,,bosanski,
Šahname – Rustem i Suhrab,Firdusi,Ep o tragičnom sukobu oca i sina. Tema je sudbina i čast,,Rustem se bori protiv nepoznatog protivnika. Smrtno ranjava sina. Istina se otkriva prekasno. Tragedija naglašava sudbinu. Heroizam je u središtu.,Omladina,Lektira,,,,,,,,,,,bosanski,
Hasanaginica,Alija Isaković,Balada o ženi odbačenoj zbog časti. Kritikuje patrijarhalne norme,,Hasanaginica biva prognana. Zajednica je osuđuje. Udaje se protiv volje. Umire od tuge. Djelo naglašava nepravdu.,Omladina,Lektira,,,,,,,,,,,bosanski,
Evgenija Grande,Onore de Balzak,Realistički roman o pohlepi i ambiciji. Prikazuje malograđansko društvo,,Otac je škrt i ambiciozan. Ljubav je podređena novcu. Evgenija pokazuje dobrotu. Društvo je vođeno interesom. Roman kritikuje materijalizam.,Omladina,Lektira,,,,,,,,,,,bosanski,
Madam Bovari,Gistav Flober,Roman o iluzijama i bračnom razočaranju. Završava tragično,,Ema traži romantičnu strast. Upada u dugove. Doživljava razočaranje. Društvo je osuđuje. Umire otrovana.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ana Karenjina,Lav N Tolstoj,Roman o ljubavi i društvenom moralu. Prikazuje aristokratsko društvo,,Ana započinje vezu sa Vronskim. Društvo je odbacuje. Unutrašnja kriza raste. Paralelno se razvija Levinova priča. Ana završava pod vozom.,Omladina,Lektira,,,,,,,,,,,bosanski,
Zločin i kazna,Fjodor Mihajlovič Dostojevski,Psihoški roman o krivici i iskupljenju. Istražuje savjest pojedinca,,Raskoljnikov ubija lihvarku. Muči ga grižnja savjesti. Sonja utiče na promjenu. Priznaje zločin. Nazire se iskupljenje.,Omladina,Lektira,,,,,,,,,,,bosanski,
Proces,Franc Kafka,Egzistencijalni roman o apsurdnoj optužbi. Tema je birokratija i nemoć,,Josef K biva uhapšen bez objašnjenja. Pokušava razumjeti sistem. Gubi kontrolu nad sudbinom. Sud je nejasan. Završava pogubljenjem.,Omladina,Lektira,,,,,,,,,,,bosanski,
Derviš i smrt,Meša Selimović,Ispovjedni roman o vlasti i savjesti. Tema je moralna odgovornost,,Ahmed pokušava spasiti brata. Suočava se sa nepravdom. Postaje dio sistema. Gubi unutrašnji mir. Završava tragičnom ironijom.,Omladina,Lektira,,,,,,,,,,,bosanski,
Zeleno busenje,Edhem Mulabdić,Roman o buđenju nacionalne svijesti u Bosni. Prikazuje društvene promjene i sukobe,,Radnja je smještena u vrijeme austrougarske okupacije. Likovi se suočavaju sa novim političkim okolnostima. Tradicija i modernost dolaze u sukob. Mladi traže identitet. Djelo naglašava važnost obrazovanja.,Omladina,Lektira,,,,,,,,,,,bosanski,
Hadži Lojo,Rešad Kadić,Historijski roman o vođi ustanka protiv okupacije. Tema je borba za slobodu,,Hadži Lojo predvodi otpor. Narod se suprotstavlja novoj vlasti. Sukobi su puni napetosti. Lik simbolizira hrabrost. Roman prikazuje patriotski duh.,Omladina,Lektira,,,,,,,,,,,bosanski,
Nečista krv,Borisav Stanković,Psihološki roman o strasti i društvenim normama. Prikazuje propadanje porodice,,Sofka je rastrzana između želja i dužnosti. Porodični ugled je važniji od sreće. Strast vodi u tragediju. Društvo nameće ograničenja. Roman oslikava patrijarhalni svijet.,Omladina,Lektira,,,,,,,,,,,bosanski,
Dani,Taha Husein,Autobiografski roman o djetinjstvu i obrazovanju. Tema je snaga duha uprkos sljepoći,,Autor opisuje odrastanje u Egiptu. Suočava se sa siromaštvom i predrasudama. Obrazovanje postaje izlaz. Put ka znanju je težak. Djelo naglašava upornost.,Omladina,Lektira,,,,,,,,,,,bosanski,
Grozdanin kikot,Hamza Humo,Modernistički roman o mladosti i čežnji. Istražuje emotivni svijet junaka,,Grozdan simbolizira ljepotu i prolaznost. Likovi su vođeni snažnim osjećajima. Ambijent je pun lirike. Priča nosi dozu nostalgije. Djelo je poetski intonirano.,Omladina,Lektira,,,,,,,,,,,bosanski,
Stepski vuk,Herman Hese,Filozofski roman o podvojenoj ličnosti. Tema je potraga za identitetom,,Hari Haler osjeća se otuđeno. Rastrzan je između duha i nagona. Susret sa Herminom mijenja ga. Ulazi u svijet introspekcije. Roman istražuje smisao postojanja.,Omladina,Lektira,,,,,,,,,,,bosanski,
Majstor i Margarita,Mihail Bulgakov,Fantastični roman o dobru i zlu. Satirično prikazuje društvo,,Đavo dolazi u Moskvu. Likovi prolaze kroz neobične događaje. Paralelno se odvija biblijska priča. Ljubav Majstora i Margarite je centralna. Djelo spaja realizam i fantastiku.,Omladina,Lektira,,,,,,,,,,,bosanski,
Starac i more,Ernest Hemingvej,Novela o borbi čovjeka sa prirodom. Tema je dostojanstvo u porazu,,Starac Santiago kreće u ribolov. Bori se sa velikom ribom. Pokazuje upornost i snagu. Iako gubi plijen zadržava ponos. Djelo slavi izdržljivost.,Omladina,Lektira,,,,,,,,,,,bosanski,
Čekajući Godoa,Semjuel Beket,Drama apsurda o čekanju bez smisla. Istražuje besmisao postojanja,,Dva lika čekaju Godoa. Vrijeme prolazi bez promjene. Razgovori su puni apsurda. Likovi se nadaju dolasku koji se ne događa. Djelo simbolizira egzistencijalnu prazninu.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ljudi na suncu,Gassan Kanafani,Roman o izbjeglicama i gubitku domovine. Tema je očaj i nada,,Tri Palestinca kreću na put. Traže bolji život. Putovanje završava tragično. Tišina postaje simbol poraza. Djelo kritikuje ravnodušnost.,Omladina,Lektira,,,,,,,,,,,bosanski,
Stranac,Alber Kami,Egzistencijalni roman o ravnodušnosti i apsurdu. Istražuje odnos čovjeka i društva,,Merso ubija čovjeka bez emotivne reakcije. Suđenje otkriva njegovu otuđenost. Društvo ga osuđuje zbog ravnodušnosti. Suočava se sa smrću. Djelo naglašava apsurd života.,Omladina,Lektira,,,,,,,,,,,bosanski,
Pukovniku nema ko da piše,Gabriel Garsia Markes,Novela o siromaštvu i čekanju. Tema je dostojanstvo uprkos neimaštini,,Pukovnik čeka pismo o penziji. Živi u siromaštvu sa suprugom. Odbija prodati pijetla. Nada ga održava. Djelo ističe upornost.,Omladina,Lektira,,,,,,,,,,,bosanski,
Sezona seobe na sjever,Tajib Salih,Roman o sudaru kultura i identiteta. Tema je unutrašnji raskol,,Narator se vraća iz Evrope. Upoznaje Mustafu Saida. Otkrivaju se tajne prošlosti. Susret kultura donosi sukob. Djelo istražuje kolonijalno nasljeđe.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ime ruže,Umberto Eko,Historijsko detektivski roman o misteriji i znanju. Istražuje moć ideja,,U samostanu se dešavaju ubistva. Viljem od Baskervila istražuje slučaj. Knjige skrivaju tajnu. Rasprave o vjeri i razumu dominiraju. Roman spaja triler i filozofiju.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ponornica,Skender Kulenović,Roman o kolektivnoj svijesti i istoriji. Rijeka simbolizira pamćenje,,Radnja je smještena u bosansku kasabu. Likovi nose teret prošlosti. Rijeka nestaje i ponovo se pojavljuje. Historija oblikuje sudbine. Djelo ima simboličnu dimenziju.,Omladina,Lektira,,,,,,,,,,,bosanski,
Ugursuz,Nedžad Ibrišimović,Roman o marginaliziranom pojedincu. Tema je izolacija i identitet,,Glavni lik je neshvaćen od okoline. Njegova sudbina nosi dozu ironije. Društvo ga odbacuje. Unutrašnji svijet je složen. Djelo istražuje samoću.,Omladina,Lektira,,,,,,,,,,,bosanski,
Skretnice,Jasmina Musabegović,Roman o životnim prelomima i odlukama. Naglašava psihološku analizu,,Likovi stoje pred važnim izborima. Prošlost utiče na sadašnjost. Emotivni konflikti su snažni. Odluke mijenjaju sudbinu. Djelo istražuje unutrašnji svijet.,Omladina,Lektira,,,,,,,,,,,bosanski,
Šahrijarov prsten,Dževad Karahasan,Roman o identitetu i pripovijedanju. Povezuje prošlost i sadašnjost,,Prsten simbolizira trajanje priče. Historijski slojevi se prepliću. Likovi traže smisao. Naracija ima filozofsku dimenziju. Djelo propituje istinu.,Omladina,Lektira,,,,,,,,,,,bosanski,
Noćno vijeće,Dževad Karahasan,Roman o ratnoj traumi i krivici. Atmosfera je misteriozna,,Radnja je smještena u grad obilježen ratom. Likovi nose teret prošlosti. Noć donosi susrete sa savješću. Krivica i odgovornost su centralne teme. Djelo istražuje moralne dileme.,Omladina,Lektira,,,,,,,,,,,bosanski,
