bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Ko je autor Šahname?;Firdusi;Rumi;Hafiz;Omar Hajam;a;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Ko je Rustem?;Iranski vladar;Najveći iranski heroj i ratnik;Turanin vojskovođa;Božanski glasnik;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Ko je Suhrab?;Rustmov brat;Rustmov neprijatelj koji ga mrzi;Rustmov sin kojeg ne poznaje;Iranski princ;c;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Kako Suhrab saznaje za svog oca?;Rustem mu sam kaže;Ne saznaje nikad;Majka mu kaže i da mu daje amulet koji mu je dao Rustem;Nađe pismo;c;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Koje je Suhrábovo porijeklo s majčine strane?;Iranci;Turanin – majka je Turaninka, kćerka Šamirakha;Grci;Arapi;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta Suhrab sanja o svom ocu Rustemu?;Da ga ubije;Da ga nađe i zajednički osvoje Iran;Da nikad neće upoznati oca;Da je Rustem mrtav;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;U kojoj vojsci se Suhrab bori?;Turanin – dolazi s turanskom vojskom;Iranskoj;Grčkoj;Kineskoj;a;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta se dogodi u dvoboju između Rustema i Suhraba?;Rustem izgubi;Rustem smrtno rani Suhraba ne znajući da je to njegov sin;Pobijede zajedno;Dvoboj je prekinut;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Kada Rustem sazna ko je Suhrab?;Prije dvoboja;Nikad ne sazna;Za vrijeme dvoboja;Nakon što ga smrtno rani, kad mu Suhrab kaže i pokaže amulet;d;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta Rustem pokušava nabaviti da spasi Suhraba?;Liječnika;Čudesnu biljku;Čarobni lijek od šaha Kavusa, koji ga odbija dati;Molitvu svećenika;c;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Zašto šah Kavus odbije dati lijek za Suhraba?;Jer nema lijeka;Jer je lijek skupocjen;Jer Suhrab nije Iranac;Jer se boji da će Rustem i Suhrab zajedno postati premoćni;d;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta je 'tehminas' u priči?;Suhrábova majka koja je voljela Rustema;Ime konja;Turanin vojskovođa;Iranska tvrđava;a;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Koje su teme epizode Rustem i Suhrab?;Tragedija neznanja, sukob između očinstva i ratničke dužnosti;Ljubav i osveta;Politička borba;Religijska posvećenost;a;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Koja je Rustmova legendarni konj?;Duldil;Šabdiz;Rakhsh;Bucefal;c;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Na šta podsjeća priča o Rustemu i Suhraba u svjetskoj književnosti?;Na Edipovu tragediju;Na priču o Abrahamu;Na mit o Narcisu;Na grčke tragedije gdje otac ubija sina ne znajući ko je;d;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Na kom je jeziku napisano Šahname?;Arapski;Hebrejski;Turski;Novi perzijski;d;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Koliko stihova ima Šahname i zbog čega je poznato?;Oko šezdeset tisuća distiha – najduži nacionalni ep;Petnaest tisuća – zbog kratkoće;Dvadeset tisuća – kao Ilijada;Pet tisuća – kao Mahabharata;a;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta Suhrab nosi kao znak svoga oca?;Mač;Prsten;Amulet koji mu je dala majka i koji je dao Rustem;Štit;c;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Kakav je Rustemov udio krivnje u tragediji?;Rustem je dijelom kriv jer se nikad nije vratio Tehminahi;Nema krivnje – sve je sudbina;Rustem je namjerno ubio sina;Rustem je žrtva loše sreće;a;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Kako Rustem tuguje za Suhrabom?;Ne tuguje;Duboka tuga koja ga slomi – oplakuje sina cijelu godinu;Brzo se oporavi;Odlazi u rat odmah;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta je Šahname Firdusija za perzijsku kulturu?;Vjerski tekst;Kratka priča;Zbirka pjesama;Nacionalni ep koji čuva perzijsku culturu, historiju i jezik;d;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Šta Firdusi želi sačuvati Šahnamom?;Islamske tradicije;Tursku kulturu;Drevno perzijsko nasljeđe, jezik i kulturu;Arapski jezik;c;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Koliko je dugo Firdusi pisao Šahname?;Deset godina;Oko trideset godina;Pedeset godina;Cijeli život od djetinjstva;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;Za kojeg šaha Firdusi piše Šahname?;Šah Ismail;Mahmud Gaznavid;Šah Abbas;Timur;b;1.0
Šahname – Rustem i Suhrab;Kviz: Šahname – Rustem i Suhrab;U kom se periodu odvija epizoda Rustem i Suhrab u historijskom okviru epa?;Mitski heroički period iranske historije;Islamski period Irana;Ahemenidski period;Sasanidski period;a;1.0
