"bookTitle";"quizTitle";"questionText";"optionA";"optionB";"optionC";"optionD";"correctAnswer";"points"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Koliko pukovnik čeka svoju penziju?";"Petnaest godina, svaki petak odlazi na poštu po pismo koje nikad ne stiže";"Pet godina";"Trideset godina";"Godinu dana";"a";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Šta pukovnik čeka osim penzije?";"Vijest o ženinoj bolesti";"Ništa posebno – penzija je jedina tema";"Politički progon";"Povratak sina iz rata";"b";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Kako se zove pukovnikov pijetao?";"Capitán";"Rojo";"Pijetao nema ime – ali je centralni simbol romana";"Galo";"c";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Što pijetao simbolizira u romanu?";"Bolje doba i prošlost";"Pukovnikov sin koji je ubijen";"Dostojanstvo, otpor i jedinu preostalu nadu u bezizlaznoj situaciji";"Bogatstvo koje pukovnik čeka";"c";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Kakva je ekonomska situacija pukovnika i njegove žene?";"Bogata zahvaljujući nasljedstvu";"Ekstremno siromaštvo – prodaju sve što imaju samo da prežive";"Skromna ali stabilna";"Srednja klasa s malo uštevine";"b";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Šta pukovnikova žena kaže da jedu kada nema hrane?";"'Ništa – gladujemo'";"'Vojničke snove'";"'Zrak i nadu'";"'Govna'";"d";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"U kojoj je zemlji smještena radnja romana?";"U Meksiku";"U Argentini";"U Kubi";"U Kolumbiji, u malom gradu zahvaćenom nasiljem i stagnacijom";"d";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Kakav je pukovnikov odnos prema vlastima i sistemu?";"Pasivno istrajan – ne buni se, ali ne klekne";"Otvorenost i borba";"Kolaboracija s vlašću";"Potpuna apatija i rezignacija";"a";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Šta pukovnik odbija učiniti s pijetlom, bez obzira na siromaštvo?";"Sudjelovati u kokošijim borbama";"Nahraniti ga na račun vlastite hrane";"Prodati ga ili pojesti";"Dati ga susjedima na čuvanje";"c";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Ko je bio pukovnikov sin i šta mu se desilo?";"Nestao u ratu";"Otišao u emigraciju";"Pobjegao od kuće kao tinejdžer";"Bio je aktivista koji je ubijen, a pijetao je naslijeđen od njega";"d";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Kakav je ton romana 'Pukovniku nema ko da piše'?";"Lakonski, turoban ali s podtonom crnog humora";"Satirički i glasno kritičan";"Optimistički i motivirajući";"Dramski i emotivan";"a";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Na koji način Markes prikazuje kolektivno nasilje i politiku?";"Potpuno ga ignorira";"Kroz novinske izvještaje unutar romana";"Indirektno – nasilje je stalno prisutno u pozadini ali se ne prikazuje direktno";"Direktno s detaljnim scenama nasilja";"c";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Čemu služe pijetlove borbe u kontekstu romana?";"Simbol nasilja vlasti";"Jedina su pukotina uzbuđenja i nade u zatvorenoj, stagnantnoj zajednici";"Ilegalna aktivnost kojoj se pukovnik protivi";"Zabava za turiste";"b";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Koliko je dugi roman 'Pukovniku nema ko da piše'?";"Kratka priča od 30 stranica";"Kratka novela – manje od stotinu stranica, ali intenzivna";"Opširan roman od 400 stranica";"Srednje duga pripovijetka";"b";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Što je 'magični realizam' i ima li ga u ovom romanu?";"Nema ga uopće ni u jednom Markesovom djelu";"Mnogo magičnih elemenata poput letećih pijetlova";"U ovom romanu ima ga malo – dominira sivi, tvrdi realizam bez magičnih elemenata";"Cijeli roman je magični realizam";"c";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Kakva je žena pukovnika?";"Bolesna ali oštroumna i realistična, stalnom ironijom provocira muža";"Nervozna i nestabilna";"Tiha i pokorna";"Optimistična i vjerna";"a";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Šta je 'La Violencia' u kontekstu romana?";"Period masovnog nasilja u Kolumbiji 50-ih koji je pozadinska prijetnja u romanu";"Naziv ulice u romanu";"Pukovnikova vojna akcija";"Revolucionarna organizacija";"a";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Što pukovnik odgovara na kraju kad ga žena pita šta će jesti?";"'Govna' – ista riječ kojom je žena opisala situaciju, ali sada s tihim prkosnim dostojanstvom";"'Prodajem pijetla sutra'";"'Penzija dolazi ovog petka'";"'Ništa – gladovat ćemo'";"a";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Šta u romanu simbolizira sedmično čekanje na pošti?";"Pukovnikovu vjeru u sistem";"Pukovnikovu senilnost";"Poštansku grešku koju treba ispraviti";"Sistemsko razočaranje i ispraznu birokratsku obećanje bez ispunjenja";"d";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Kako je prikazan liječnik u romanu?";"Kao sluga vlasti";"Kao jedan od rijetkih aktera koji pukovniku pristupa s poštovanjem i prijateljstvom";"Kao birokratski i hladni";"Kao korumpirani";"b";"1"
"Pukovniku nema ko da piše";"Kviz: Pukovniku nema ko da piše";"Što roman govori o čekanju kao egzistencijalnom stanju?";"Da je čekanje znak slabosti";"Da čekanje može biti i oblik otpora i dostojanstva, ali i ropstvo iluziji";"Da je čekanje jedina ispravna stvar u životu";"Da je strpljenje uvijek nagrađeno";"b";"1"
