bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Ko je autor kasida koje se proučavaju u sklopu ove lektire?;Mula Mustafa Bašeskija;Rešad Kadić;Abdul-Vehab Ilhamija;Hamza Humo;c;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Šta je kasida kao književna forma?;Duža lirska ili pohvalna pjesma u islamskoj književnoj tradiciji;Kratka lirska pjesma;Ep u dvanaest pjevanja;Kratka priča u prozi;a;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Koje je pravo ime Ilhamije?;Abdul-Vehab Žepčevi;Adem Buć;Mustafa Busuladžić;Ahmed Karabegović;a;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Kakav je Ilhamijin književni pseudonim 'Ilhamija' i šta znači?;Literarni mektepski naziv, znači 'nadahnut' ili 'inspiriran';Znači pobožan čovjek;Znači pobunjennik;Znači pustinjak;a;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Na kojim jezicima je Ilhamija pisao?;Na bosanskom (alhamijado), turskom i arapskom;Samo na turskom;Samo na arapskom;Na perzijskom i arapskom;a;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Šta je alhamijado književnost?;Književnost pisana arapskim pismom;Književnost franjevaca;Osmanskaturska književnost;Književnost na bosanskom jeziku pisana arapskim (arebičkim) pismom;d;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Zbog čega je Ilhamija ubijen?;Zbog krađe;Zbog vjerske jeresi;Zbog učešća u pobuni bosanskih prvaka protiv osmanskih reformi;Zbog ubojstva;c;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Koje su teme Ilhamijinih kasida?;Isključivo ljubavne;Mistično-sufijske, moralne, pohvalne i rodoljubne;Ratne i epske;Humoristične;b;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Šta je djelo 'Ilhamijin put u smrt' Rešada Kadića?;Roman o Ilhamijinom djetinjstvu;Drama u pet činova;Zbirka Ilhamijinih pjesama s komentarima;Pripovijetka koja rekonstruira Ilhamijine posljednje dane i pogubljenje;d;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Kako Ilhamija doživljava svoju smrt prema Kadićevom djelu?;S vjerničkim mirenjem i dostojanstvom;Prestrašeno i slomljeno;Pokušava pobjeći;Ljutito i buntovnički;a;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Koji sultan je naredio reforme koje su izazvale pobunu bosanskih prvaka?;Selim I;Abdulhamid II;Sulejman Veličanstveni;Mahmud II;d;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Šta Ilhamijine kaside govore o odnosu prema Bogu?;Bog je blizak, milostiv, a čovjek Mu se treba predati u ljubavi i poniznosti;Bog je nedostupan i strog;Bog je samo sudac;Bog se ne može opisati;a;1.0
Kasida / Ilhamijin put u smrt;Kviz: Kasida i Ilhamijin put u smrt;Kakvu školu sufijskog islama zastupa Ilhamija?;Vahabijsku;Nakšibendijsku;Kađerijsku;Mevlevijsku;b;1.0
