bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Gilgameš;Kviz: Gilgameš;Ko je Gilgameš?;Bog neba;Sumerski svećenik;Egipatski faraon;Legendarni heroj i kralj Uruka, dvije trećine bog i jedna trećina čovjek;d;1.0
Gilgameš;Kviz: Gilgameš;Ko je Enkidu i odakle dolazi?;Divlji čovjek stvoren od bogova koji živi s životinjama;Gilgamešev brat;Bog vatre;Neprijatelj Uruka;a;1.0
Gilgameš;Kviz: Gilgameš;Kako Enkidu biva civiliziran?;Gilgameš ga nauči govoriti;Svećenica Šamhat ga uvede u ljudski život;Bogovi mu daju razum;Borba s Gilgamešem;b;1.0
Gilgameš;Kviz: Gilgameš;Kakav je odnos Gilgameša i Enkidua?;Neprijatelji;Snažno prijateljstvo – gotovo bratstvo;Takmaci;Gospodar i rob;b;1.0
Gilgameš;Kviz: Gilgameš;Koje čudovište Gilgameš i Enkidu ubiju u šumi kedrova?;Humbaba;Minotaur;Gorgona;Lav;a;1.0
Gilgameš;Kviz: Gilgameš;Šta Gilgameš učini s bikom nebeskim kojeg pošalje Ištar?;Prinese ga kao žrtvu;Pobjegne od njega;Zajedno s Enkiduom ga ubije;Kroći ga;c;1.0
Gilgameš;Kviz: Gilgameš;Zašto boginja Ištar pošalje bika nebeskog na Gilgameša?;Jer je odbio njenu ljubav;Jer je ubio Humbabu;Jer je uništio Uruk;Jer je uvrijedio Enlila;a;1.0
Gilgameš;Kviz: Gilgameš;Šta se dogodi s Enkiduom?;Postaje bog;Vrati se u prirodu;Pobjegne iz Uruka;Bogovi odluče da umre kao kazna;d;1.0
Gilgameš;Kviz: Gilgameš;Kako Enkiduova smrt promijeni Gilgameša?;Ne mjenja ga;Dotakne ga strah od vlastite smrtnosti i krene tražiti vječni život;Postane tužan ali nastavi istim životom;Postane okrutni tiranin;b;1.0
Gilgameš;Kviz: Gilgameš;Ko je Utanapišti?;Bog mudrosti;Čuvar podzemlja;Enkiduov otac;Jedini smrtnik kojemu su bogovi dali vječni život preživjevši potop;d;1.0
Gilgameš;Kviz: Gilgameš;Šta Utanapišti kaže Gilgamešu o vječnom životu?;Da je bogovima samo dano jer su to željeli, i da je smrt čovjekova sudbina;Da može lako dobiti;Da ga može naći na planini;Da ga može kupiti;a;1.0
Gilgameš;Kviz: Gilgameš;Šta je biljka vječnog života i šta se dogodi s njom?;Biljka raste na planini – Gilgameš je pojede;Biljka je na dnu mora – Gilgameš je uzme, ali zmija je ukrade;Utanapišti je daje Gilgamešu kao poklon;Bogovi je unište;b;1.0
Gilgameš;Kviz: Gilgameš;Šta ep Gilgameš kaže o smrtnosti čovjeka?;Smrt se može pobijediti;Bogovi su kažnjavaju smrtnike;Smrt je neizbježna i čovjek treba uživati u životu koji ima;Dobri umiru mladi;c;1.0
Gilgameš;Kviz: Gilgameš;Kako potop u Gilgamešu podsjeća na biblijski potop?;Nema sličnosti;Potpuno je drugačiji;Bog naloži jednom čovjeku da sagradi brod, pusti na njega životinje i preživi potop;Samo u detaljima vode;c;1.0
Gilgameš;Kviz: Gilgameš;Ko je Šamash u epu?;Bog Sunca i zaštitnik Gilgameša;Bog vode;Bog rata;Enkiduov otac;a;1.0
Gilgameš;Kviz: Gilgameš;Šta je Uruk u epu?;Planina;Grad koji Gilgameš vlada, simbol civilizacije;Rijeka;Podzemni svijet;b;1.0
Gilgameš;Kviz: Gilgameš;Ko je Siduri i šta savjetuje Gilgamešu?;Krčmarica koja savjetuje Gilgameša da prihvati smrtnost i uživa u životu;Božica rata;Enkiduova majka;Boginja ljubavi;a;1.0
Gilgameš;Kviz: Gilgameš;Na kojim pločicama je sačuvan ep Gilgameš?;Papirus;Glinene pločice s klinastim pismom;Kamene ploče;Pergament;b;1.0
Gilgameš;Kviz: Gilgameš;Koje je kulturno porijeklo epa Gilgameš?;Mezopotamijsko – sumersko i akadsko;Egipatsko;Hebrejsko;Perzijsko;a;1.0
Gilgameš;Kviz: Gilgameš;Šta Gilgameš izgradi na povratku u Uruk kao trajni spomen?;Hram;Piramidu;Moćne gradske zidine Uruka;Palatu;c;1.0
Gilgameš;Kviz: Gilgameš;Kakav je Gilgameš bio kao vladar Uruka na početku epa?;Pravičan i blag;Vojskovođa;Nevidljiv narodu;Tiran koji tlači narod i uzima žene silom;d;1.0
Gilgameš;Kviz: Gilgameš;Šta brod Utanapišti sadržava za vrijeme potopa?;Samo hranu;Samo vojnike;Blago;Žita, životinje, obrtnike i rodbinu;d;1.0
Gilgameš;Kviz: Gilgameš;Koji test Utanapišti zada Gilgamešu da dokaže da je dostojan vječnog života?;Test snage;Da ne spava sedam dana i noći – Gilgameš odmah zaspi;Test mudrosti;Test hrabrosti;b;1.0
Gilgameš;Kviz: Gilgameš;Šta je Enkiduov grijeh pred bogovima?;Ubojstvo Humbabe;Bijeg iz Uruka;Udaranje butinom bika nebeskog prema Ištar;Nevjera Gilgamešu;c;1.0
Gilgameš;Kviz: Gilgameš;Kakvo je Enkiduovo poimanje smrti prema snu koji mu je bogovi poslali?;Smrt je lijepa;Nema poslije života;Podzemlje je mračno i beznadežno mjesto sjena;Bog prima dobre ljude;c;1.0
Gilgameš;Kviz: Gilgameš;Koje je trajno nasljeđe epa Gilgameš?;Religiozni priručnik;Pravni tekst;Ratna hronika;Jedna od prvih epskih pripovijedaka o prijateljstvu, herojstvu i suočavanju sa smrtnošću;d;1.0
