bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Ljetopis;Kviz: Ljetopis;Što je Ljetopis Mule Mustafe Bašeskije po žanru?;Roman;Ep;Kronika svakodnevnog sarajevskog života u 18. stoljeću;Zbirka priča;c;1.0
Ljetopis;Kviz: Ljetopis;Kojim jezikom je Bašeskija pisao Ljetopis?;Turskim;Bosanskim;Arapskim;Perzijskim;a;1.0
Ljetopis;Kviz: Ljetopis;Šta je Bašeskija po zanimanju?;Vojnik;Imam;Sarajevski mula i kroničar;Kadija;c;1.0
Ljetopis;Kviz: Ljetopis;Koji vremenski period opisuje Ljetopis?;15. i 16. stoljeće;Osmansko osvajanje Bosne;19. i 20. stoljeće;17. i 18. stoljeće, uglavnom 18. st.;d;1.0
Ljetopis;Kviz: Ljetopis;Što Bašeskija najčešće bilježi u Ljetopisu?;Sultanove govore;Svakodnevne događaje, smrti, vremenske prilike, cijelne stvari;Samo ratne događaje;Vjerske propise;b;1.0
Ljetopis;Kviz: Ljetopis;Kako Bašeskija opisuje ljude koje bilježi u Ljetopisu?;Samo pozitivno;Kratkim, živopisnim karakterizacijama s dozom humora i ironije;Detaljnim portretima;Samo negativno;b;1.0
Ljetopis;Kviz: Ljetopis;Koji grad je u središtu Ljetopisa?;Mostar;Travnik;Sarajevo;Istanbul;c;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija piše o sebi u Ljetopisu?;Ništa – potpuno je objektivan;Često se omuje, tuguje za djecom, govori o svojoj bijedi;Hvali sebe kao važnu ličnost;Opisuje svoja putovanja;b;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija bilježi o vremenskim prilikama?;Ignorira ih;Bilježi samo proljeće;Detaljno bilježi zime, suše, poplave jer utječu na cijene i živote;Opisuje samo oluje;c;1.0
Ljetopis;Kviz: Ljetopis;Kakav je Bašeskijin stil pisanja?;Visoko književni i patetičan;Naučni i suhoparni;Jednostavan, konkretan, lokalan, s elementima humora;Lirski i romantičan;c;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija misli o ondašnjim Sarajlijama?;Idealizira ih;Hvali ih kao dobre vjernike;Nikada ih ne ocjenjuje;Kritizira ih, smatra da su se pokvarili i da ih više ne poznaje;d;1.0
Ljetopis;Kviz: Ljetopis;Kako Bašeskija piše o siromašnima?;Ignorira ih;S nježnošću i suosjećanjem, čak i s određenim poistovjećivanjem;Osuđuje ih;S prezirom;b;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija bilježi o cijenama roba?;Često i pedantno, jer to otkriva ekonomsku situaciju u gradu;Ništa;Samo u lijepim vremenima;Samo skupoće;a;1.0
Ljetopis;Kviz: Ljetopis;Kakav je Ljetopis kao historijski izvor?;Nevjerodostojan;Nedovoljno pouzdan zbog pristrasnosti;Jedini izvor o osmanskim ratovima;Dragocjen jer opisuje svakodnevnicu koje nema u službenim historijama;d;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija govori o pijancima i nevaljalcima?;Bilježi ih s ironičnim humorom, ali i osudom;Hvali njihovu slobodu;Ignorira ih;Poziva vlasti da ih kazne;a;1.0
Ljetopis;Kviz: Ljetopis;O kojim prirodnim nepogodama piše Bašeskija?;Samo potresima;O uraganu;Samo o sušama;O potresima, poplavama, snijegu, gladi i epidemijama;d;1.0
Ljetopis;Kviz: Ljetopis;Kako Bašeskija piše o sopstvenoj djeci?;S ponosom;Ne pominje djecu;S tugom, jer mu mnoga djeca umiru u ranoj dobi;Opisuje ih detaljno;c;1.0
