bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Evgenija Grande;Kviz: Evgenija Grande;Ko je Griot Grande?;Evgenijev suprug;Evgenijin ujak;Evgenijin otac, bogati, škrti bačvar i vinar;Gradski gradonačelnik;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;U koji grad je smještena radnja Evgenije Grande?;Saumur;Pariz;Lyon;Bordeaux;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;U koga se Evgenija zaljubi?;U lokalnog mladića;U svog pariskog bratića Charlesa;U gradskog bilježnika;U Nansonovog sina;b;1.0
Evgenija Grande;Kviz: Evgenija Grande;Zašto Charles dolazi kod Grandea?;Na godišnji odmor;Da traži Evgeniju za ženu;Na poslovni put;Otac ga šalje jer je bankrotirao i ubio se;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta Evgenija daje Charlesu kad odlazi u Indiju?;Svoju sliku;Pismo ocu;Svo svoje zlato – ušteđevinu od koje nikad nije imala ništa;Nakit majke;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta Griot radi kad sazna da je Evgenija dala zlato Charlesu?;Oprosti joj;Prijavi je vlastima;Odjede je iz kuće;Kazni je zatvarajući je u sobu i isključujući je iz obiteljskog života;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Kako Evgenijna majka reagira na sukob između kćerke i supruga?;Polako se gasi od tuge i uskoro umire;Stane uz muža;Brani Evgeniju snažno;Pobjegne iz kuće;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;Što Griot napravi na samrti s imanjem?;Ostavi sve Evgeniji;Prisili Evgeniju da se odrekne majčinog nasljedstva u njegovu korist;Proda imanje;Donira crkvi;b;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta Charles radi u Indiji?;Bogati se bezdušnom trgovinom i zaboravlja Evgeniju;Postaje siromašan;Piše joj svaki dan;Vraća se odmah;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;S kime se Charles vjenča na kraju?;S Evgenijom;S indijskom kneginjom;S plemenitašicom radi napredovanja u društvu;Ne ženi se;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;S kime se Evgenija vjenča na kraju?;S Charlesom;S lokalnim trgovcem;Ostaje neudata;S predsjednikom Cruchot de Bonfons – iz milosrđa, bez ljubavi;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta Evgenija čini s ogromnim nasljedstvom koje dobija?;Troši ga raskošno;Odlazi u Pariz;Investira u poslovne projekte;Živi skromno i dijeli ga dobrotvornim svrhama;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta Evgenija plati za Charlesa čak i nakon što je saznala da se oženio drugom?;Plati sve dugove Charlesovog oca koje je on zaboravio;Ništa;Plati njegovo školovanje;Plati mu put;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;Ko su Cruchoti i Grassini u romanu?;Dvije porodice koje se natječu za Evgenijinu ruku i nasljedstvo;Pariski bankari;Evgenijini prijatelji;Grandovi poslovni partneri;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;Kakav je Grand prema novcu na samrti?;Darežljiv;Ravnodušan;Opsesivno škrt do posljednjeg daha – gladi zlatne novčiće;Pokajaen;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta je osnovna tema Evgenije Grande?;Pohlepa i novac koji uništavaju ljubav i ljudskost;Ljubavna priča;Politička kritika;Pustolovine u Indiji;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;Kako Balzak prikazuje provincijsku buržoaziju u romanu?;Idealistički;Kritički – kao opsjednute novcem, glasinama i društvenim statusom;Simpatično;Neutralno;b;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta je Evgenijin karakter u usporedbi s likovima koji je okružuju?;Ona je jednako pohlepna;Ona je slaba i naivna;Ona je izuzetak – plemenita, vjerna, nesebitna u pohlepnom okruženju;Ona je ambiciozna;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;Koji je Grandov stav prema ženi i kćerki?;Voli ih duboko;Voli ih ali je strog;Potpuno su instrumenti za čuvanje imovine, bez vlastite volje;Ignorira ih;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta roman govori o položaju žene u 19. st. Francuskoj?;Žena je slobodna;Žena je potpuno zavisna o muškarcu – ocu ili mužu;Žena može raspolagati imovinom;Žena je ravnopravna;b;1.0
Evgenija Grande;Kviz: Evgenija Grande;Ko je Nansonova i kakva je njezina uloga?;Evgenijina sluškinja koja je odana Evgeniji;Stara sluškinja odana cijeloj obitelji, posebno Evgeniji;Comšinica;Grandova sestra;b;1.0
Evgenija Grande;Kviz: Evgenija Grande;Koji je Grandov posao i izvor bogatstva?;Bačvar i vinar koji je kupovao jeftino i prodavao skupo za vrijeme Revolucije;Banker;Vlastelin;Industrijalac;a;1.0
Evgenija Grande;Kviz: Evgenija Grande;Kako se Grand ponaša s povjeriocima Charlesovog oca?;Odmah isplati dugove;Manipulira ih na mester majstor;Ignorira ih;Tuži ih;b;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta Evgenija čini nakon muževe smrti?;Udaje se ponovo;Traži Charlesa;Ode u Pariz;Nastavlja živjeti kao udovica, tiho i dobrotivorno;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Kakva je Evgenijina sudbina na kraju romana?;Sretna i ispunjena;Umre mlada;Siromašna ali sretna;Bogata ali usamljena, izigrana u ljubavi i životu;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Koji je Balzakov literarni pravac?;Romantizam;Naturalizam;Realizam;Simbolizam;c;1.0
Evgenija Grande;Kviz: Evgenija Grande;Kakvo je Grandovo stanje kućanstva u usporedbi s njegovim bogatstvom?;Rasipno;Prosječno;Luksuzno;Siromašno i škrto – ne troši ništa;d;1.0
Evgenija Grande;Kviz: Evgenija Grande;Šta je Saumur kao grad u romanu?;Kosmopolitski grad;Zamrznuta provincijska sredina u kojoj vladaju glasine i novac;Turistički grad;Revolucionarni grad;b;1.0
